't             ','x             ','y             ','z             ',magnitude
4.0678640596E13,0.211529,-0.069995,0.228183,0.318922
4.0678660442E13,0.308089,-0.152736,0.169385,0.383326
4.0678680729E13,0.353386,-0.190636,0.060819,0.406107
4.0678714051E13,0.312262,-0.166208,-0.085697,0.363973
4.0678720716E13,0.15946,-0.073503,-0.253275,0.308185
4.0678740329E13,-0.11287,0.079833,-0.423805,0.445784
4.0678760421E13,-0.49028,0.273083,-0.581749,0.80832
4.0678780462E13,-0.934765,0.475521,-0.716741,1.270285
4.0678801021E13,-1.388036,0.651446,-0.824665,1.741005
4.0678820439E13,-1.779072,0.766308,-0.906605,2.138751
4.0678840431E13,-2.034553,0.792592,-0.966229,2.38772
4.0678860441E13,-2.090796,0.714222,-1.006521,2.427885
4.0678880472E13,-1.904832,0.528776,-1.026981,2.227707
4.0678900491E13,-1.462361,0.247415,-1.021977,1.801153
4.0678920579E13,-0.781269,-0.107567,-0.981074,1.258753
4.0678940414E13,0.09,-0.506671,-0.891508,1.02937
4.0678960481E13,1.079102,-0.917649,-0.742203,1.599189
4.0678980427E13,2.100231,-1.309659,-0.528468,2.5309
4.0679000509E13,3.066543,-1.656437,-0.256195,3.494725
4.0679021069E13,3.902186,-1.938053,0.05578,4.357317
4.0679040407E13,4.55191,-2.141271,0.376186,5.044447
4.0679060419E13,4.986592,-2.258895,0.665008,5.514612
4.0679080377E13,5.204065,-2.288569,0.879961,5.752753
4.0679100412E13,5.225398,-2.231759,0.984579,5.766709
4.0679120337E13,5.087795,-2.093241,0.956263,5.584062
4.0679140326E13,4.835831,-1.881259,0.792429,5.249032
4.0679160342E13,4.512925,-1.608157,0.513196,4.818302
4.0679180346E13,4.15455,-1.291044,0.159647,4.353454
4.0679201752E13,3.784526,-0.951838,-0.212385,3.908164
4.0679220424E13,3.414618,-0.616247,-0.541913,3.511844
4.0679240412E13,3.046818,-0.311525,-0.774029,3.158998
4.0679260334E13,2.677747,-0.06293,-0.870517,2.816397
4.0679280344E13,2.303609,0.110366,-0.817697,2.446921
4.0679301967E13,1.923814,0.198647,-0.62928,2.033842
4.0679320402E13,1.542758,0.20398,-0.344101,1.593774
4.0679340322E13,1.169685,0.140784,-0.019058,1.178281
4.0679360359E13,0.816656,0.033901,0.281688,0.864538
4.0679380347E13,0.494976,-0.085534,0.499624,0.708478
4.0679401846E13,0.211741,-0.185807,0.593195,0.656688
4.0679420371E13,-0.032036,-0.240787,0.545317,0.596971
4.0679440319E13,-0.241568,-0.235042,0.365857,0.497445
4.0679460506E13,-0.426777,-0.166915,0.088711,0.466765
4.0679480339E13,-0.599044,-0.048747,-0.235908,0.645664
4.0679501719E13,-0.767346,0.096138,-0.552175,0.950242
4.0679520369E13,-0.93487,0.238931,-0.81002,1.259842
4.0679540322E13,-1.09721,0.352052,-0.974614,1.509199
4.0679560339E13,-1.242779,0.415708,-1.032087,1.668087
4.0679580344E13,-1.355543,0.42258,-0.990191,1.731054
4.0679601724E13,-1.419472,0.379436,-0.874246,1.709731
4.0679620382E13,-1.423476,0.305287,-0.719626,1.623991
4.0679140326E13,4.835831,-1.881259,0.792429,5.249032
4.0679160342E13,4.512925,-1.608157,0.513196,4.818302
4.0679180346E13,4.15455,-1.291044,0.159647,4.353454
4.0679201752E13,3.784526,-0.951838,-0.212385,3.908164
4.0679220424E13,3.414618,-0.616247,-0.541913,3.511844
4.0679240412E13,3.046818,-0.311525,-0.774029,3.158998
4.0679260334E13,2.677747,-0.06293,-0.870517,2.816397
4.0679280344E13,2.303609,0.110366,-0.817697,2.446921
4.0679301967E13,1.923814,0.198647,-0.62928,2.033842
4.0679320402E13,1.542758,0.20398,-0.344101,1.593774
4.0679340322E13,1.169685,0.140784,-0.019058,1.178281
4.0679360359E13,0.816656,0.033901,0.281688,0.864538
4.0679380347E13,0.494976,-0.085534,0.499624,0.708478
4.0679401846E13,0.211741,-0.185807,0.593195,0.656688
4.0679420371E13,-0.032036,-0.240787,0.545317,0.596971
4.0679440319E13,-0.241568,-0.235042,0.365857,0.497445
4.0679460506E13,-0.426777,-0.166915,0.088711,0.466765
4.0679480339E13,-0.599044,-0.048747,-0.235908,0.645664
4.0679501719E13,-0.767346,0.096138,-0.552175,0.950242
4.0679520369E13,-0.93487,0.238931,-0.81002,1.259842
4.0679540322E13,-1.09721,0.352052,-0.974614,1.509199
4.0679560339E13,-1.242779,0.415708,-1.032087,1.668087
4.0679580344E13,-1.355543,0.42258,-0.990191,1.731054
4.0679601724E13,-1.419472,0.379436,-0.874246,1.709731
4.0679620382E13,-1.423476,0.305287,-0.719626,1.623991
4.0679640322E13,-1.365591,0.226478,-0.562576,1.494196
4.0679660342E13,-1.255092,0.169667,-0.43176,1.338081
4.0679680349E13,-1.111587,0.154468,-0.342526,1.173375
4.0679701757E13,-0.961074,0.18761,-0.295155,1.022731
4.0679720379E13,-0.829849,0.26011,-0.277214,0.912773
4.0679740321E13,-0.737536,0.348399,-0.269169,0.858949
4.0679760339E13,-0.691081,0.419294,-0.251706,0.846615
4.0679780344E13,-0.681444,0.437833,-0.212455,0.837378
4.0679801697E13,-0.68427,0.376133,-0.150283,0.795165
4.0679820369E13,-0.664736,0.221138,-0.075861,0.704649
4.0679840324E13,-0.585839,-0.020656,-0.008112,0.586259
4.0679861659E13,-0.41847,-0.322788,0.032217,0.529478
4.0679880442E13,-0.151249,-0.643256,0.030137,0.661485
4.0679900486E13,0.202686,-0.93287,-0.016917,0.954785
4.0679920446E13,0.604237,-1.146067,-0.095357,1.299102
4.0679940402E13,0.992674,-1.251356,-0.176345,1.606982
4.0679960691E13,1.295903,-1.238766,-0.221427,1.80636
4.0679980351E13,1.444835,-1.122794,-0.192083,1.839867
4.0680000576E13,1.388954,-0.939605,-0.061046,1.678028
4.0680020339E13,1.109902,-0.738876,0.177737,1.345143
4.0680040324E13,0.629915,-0.572034,0.502966,0.988429
4.0680060339E13,0.012749,-0.479434,0.86589,0.98984
4.0680080321E13,-0.643923,-0.479447,1.197077,1.441353
4.0680102037E13,-1.223761,-0.562382,1.419282,1.956585
4.0680120386E13,-1.611981,-0.690922,1.463795,2.284415
4.0679640322E13,-1.365591,0.226478,-0.562576,1.494196
4.0679660342E13,-1.255092,0.169667,-0.43176,1.338081
4.0679680349E13,-1.111587,0.154468,-0.342526,1.173375
4.0679701757E13,-0.961074,0.18761,-0.295155,1.022731
4.0679720379E13,-0.829849,0.26011,-0.277214,0.912773
4.0679740321E13,-0.737536,0.348399,-0.269169,0.858949
4.0679760339E13,-0.691081,0.419294,-0.251706,0.846615
4.0679780344E13,-0.681444,0.437833,-0.212455,0.837378
4.0679801697E13,-0.68427,0.376133,-0.150283,0.795165
4.0679820369E13,-0.664736,0.221138,-0.075861,0.704649
4.0679840324E13,-0.585839,-0.020656,-0.008112,0.586259
4.0679861659E13,-0.41847,-0.322788,0.032217,0.529478
4.0679880442E13,-0.151249,-0.643256,0.030137,0.661485
4.0679900486E13,0.202686,-0.93287,-0.016917,0.954785
4.0679920446E13,0.604237,-1.146067,-0.095357,1.299102
4.0679940402E13,0.992674,-1.251356,-0.176345,1.606982
4.0679960691E13,1.295903,-1.238766,-0.221427,1.80636
4.0679980351E13,1.444835,-1.122794,-0.192083,1.839867
4.0680000576E13,1.388954,-0.939605,-0.061046,1.678028
4.0680020339E13,1.109902,-0.738876,0.177737,1.345143
4.0680040324E13,0.629915,-0.572034,0.502966,0.988429
4.0680060339E13,0.012749,-0.479434,0.86589,0.98984
4.0680080321E13,-0.643923,-0.479447,1.197077,1.441353
4.0680102037E13,-1.223761,-0.562382,1.419282,1.956585
4.0680120386E13,-1.611981,-0.690922,1.463795,2.284415
4.0680140329E13,-1.716894,-0.807547,1.286903,2.292591
4.0680160341E13,-1.488624,-0.84761,0.882815,1.927124
4.0680185724E13,-0.931056,-0.75538,0.289577,1.233418
4.0680201859E13,-0.104349,-0.499539,-0.413898,0.657069
4.0680220366E13,0.882776,-0.084492,-1.119831,1.428445
4.0680243191E13,1.889928,0.445485,-1.710747,2.587845
4.0680260401E13,2.768251,1.010707,-2.082345,3.608449
4.0680280346E13,3.385576,1.508865,-2.165434,4.292773
4.0680301731E13,3.648828,1.833834,-1.942379,4.522138
4.0680320376E13,3.519366,1.896807,-1.454405,4.254305
4.0680340306E13,3.018522,1.645353,-0.797744,3.529172
4.0680360344E13,2.222092,1.076034,-0.108928,2.471317
4.0680380351E13,1.245139,0.237893,0.458433,1.348008
4.0680401711E13,0.220307,-0.774545,0.760842,1.107852
4.0680420381E13,-0.726372,-1.838089,0.691303,2.093821
4.0680440332E13,-1.49813,-2.824662,0.199883,3.203601
4.0680460416E13,-2.043191,-3.62633,-0.6961,4.220125
