't             ','x             ','y             ','z             ',magnitude
4.0289331855E13,2.142641,2.178538,-2.397451,3.883905
4.028935326E13,3.542427,2.593402,-2.493868,5.049149
4.0289372003E13,5.196705,3.132905,-2.628971,6.613042
4.0289391985E13,6.943727,3.794318,-2.833205,8.404716
4.0289411828E13,8.574807,4.561652,-3.115584,10.20014
4.0289431856E13,9.866621,5.401978,-3.462972,11.769612
4.0289453251E13,10.619289,6.263563,-3.84375,12.914176
4.0289472003E13,10.693106,7.077383,-4.214404,13.497891
4.0289491976E13,10.036847,7.762722,-4.527439,13.472039
4.0289511836E13,8.701921,8.236347,-4.738648,12.884705
4.0289531855E13,6.839118,8.424268,-4.812332,11.870147
4.0289553158E13,4.677789,8.27452,-4.723671,10.614257
4.0289572006E13,2.490793,7.768528,-4.458833,9.297057
4.0289591983E13,0.551285,6.928767,-4.013502,8.026202
4.0289611833E13,-0.911103,5.820921,-3.391086,6.797992
4.0289631881E13,-1.746871,4.549317,-2.601755,5.524217
4.0289651846E13,-1.909467,3.245637,-1.663134,4.116581
4.0289671843E13,-1.460552,2.052325,-0.602377,2.590002
4.028969183E13,-0.556591,1.103326,0.540857,1.348943
4.028971182E13,0.580195,0.504635,1.712032,1.876789
4.0289731853E13,1.70126,0.318267,2.841563,3.327169
4.0289753206E13,2.573976,0.552435,3.847837,4.66223
4.0289772003E13,3.019151,1.159674,4.644053,5.659271
4.0289791993E13,2.937864,2.043539,5.148179,6.269836
4.028981184E13,2.323056,3.072875,5.294627,6.547688
4.0289831858E13,1.254916,4.10147,5.045604,6.62231
4.0289853185E13,-0.118249,4.989675,4.400177,6.653751
4.028987201E13,-1.609223,5.62457,3.398418,6.765695
4.028989198E13,-3.025038,5.935007,2.119143,6.990417
4.0289911841E13,-4.198046,5.899506,0.671448,7.271767
4.0289931858E13,-5.009556,5.545875,-0.818837,7.51817
4.0289952551E13,-5.402639,4.943285,-2.225709,7.65365
4.0289971988E13,-5.38327,4.187861,-3.439753,7.638696
4.0289991815E13,-5.010594,3.385255,-4.38175,7.467646
4.029001183E13,-4.379658,2.633244,-5.010757,7.157029
4.0290031856E13,-3.600991,2.007042,-5.325713,6.734877
4.029005327E13,-2.780957,1.550041,-5.360346,6.234554
4.0290072015E13,-2.006585,1.270871,-5.172791,5.692035
4.0290091985E13,-1.336905,1.146825,-4.832338,5.143347
4.0290111835E13,-0.801232,1.132322,-4.406075,4.619266
4.0290131855E13,-0.403231,1.17029,-3.948207,4.137694
4.0290152166E13,-0.128686,1.204019,-3.49391,3.697787
4.0290171851E13,0.045678,1.187257,-3.058482,3.281155
4.0290191823E13,0.144536,1.090798,-2.641412,2.861432
4.0290211818E13,0.189135,0.904965,-2.233684,2.417452
4.0290231853E13,0.195688,0.637864,-1.826171,1.944239
4.02902521E13,0.17648,0.310599,-1.416491,1.460843
4.0290271845E13,0.142685,-0.049244,-1.012062,1.023256
4.0290291825E13,0.10648,-0.41336,-0.631013,0.761828
4.0290311821E13,0.082712,-0.757394,-0.298355,0.818231
4.0289831858E13,1.254916,4.10147,5.045604,6.62231
4.0289853185E13,-0.118249,4.989675,4.400177,6.653751
4.028987201E13,-1.609223,5.62457,3.398418,6.765695
4.028989198E13,-3.025038,5.935007,2.119143,6.990417
4.0289911841E13,-4.198046,5.899506,0.671448,7.271767
4.0289931858E13,-5.009556,5.545875,-0.818837,7.51817
4.0289952551E13,-5.402639,4.943285,-2.225709,7.65365
4.0289971988E13,-5.38327,4.187861,-3.439753,7.638696
4.0289991815E13,-5.010594,3.385255,-4.38175,7.467646
4.029001183E13,-4.379658,2.633244,-5.010757,7.157029
4.0290031856E13,-3.600991,2.007042,-5.325713,6.734877
4.029005327E13,-2.780957,1.550041,-5.360346,6.234554
4.0290072015E13,-2.006585,1.270871,-5.172791,5.692035
4.0290091985E13,-1.336905,1.146825,-4.832338,5.143347
4.0290111835E13,-0.801232,1.132322,-4.406075,4.619266
4.0290131855E13,-0.403231,1.17029,-3.948207,4.137694
4.0290152166E13,-0.128686,1.204019,-3.49391,3.697787
4.0290171851E13,0.045678,1.187257,-3.058482,3.281155
4.0290191823E13,0.144536,1.090798,-2.641412,2.861432
4.0290211818E13,0.189135,0.904965,-2.233684,2.417452
4.0290231853E13,0.195688,0.637864,-1.826171,1.944239
4.02902521E13,0.17648,0.310599,-1.416491,1.460843
4.0290271845E13,0.142685,-0.049244,-1.012062,1.023256
4.0290291825E13,0.10648,-0.41336,-0.631013,0.761828
4.0290311821E13,0.082712,-0.757394,-0.298355,0.818231
4.0290331858E13,0.088095,-1.063912,-0.03861,1.068251
4.0290352075E13,0.138089,-1.322526,0.131389,1.336191
4.0290371851E13,0.243126,-1.527867,0.208085,1.561021
4.0290391833E13,0.404848,-1.677066,0.203487,1.737199
4.029041182E13,0.614067,-1.767259,0.143498,1.876399
4.0290431855E13,0.851478,-1.79403,0.062633,1.986827
4.029045211E13,1.090876,-1.751665,-0.003953,2.063578
4.0290471851E13,1.304534,-1.635073,-0.028929,2.091915
4.0290491826E13,1.469453,-1.442904,0.000363,2.059434
4.0290511826E13,1.572678,-1.180782,0.078328,1.968171
4.0290531855E13,1.614215,-0.863919,0.182157,1.839899
4.0290552075E13,1.606542,-0.517768,0.2775,1.710575
4.0290571846E13,1.570317,-0.176493,0.327131,1.61371
4.0290591826E13,1.527267,0.121026,0.300572,1.561261
4.029061182E13,1.491717,0.336756,0.182233,1.540075
4.0290631868E13,1.463316,0.439677,-0.023795,1.528128
4.029065184E13,1.423016,0.411185,-0.293673,1.510063
4.029067186E13,1.334,0.24896,-0.588602,1.479185
4.029069183E13,1.147895,-0.031717,-0.863472,1.436751
4.0290711826E13,0.815414,-0.399613,-1.077181,1.408868
4.0290731853E13,0.299356,-0.811947,-1.202,1.481106
4.0290752148E13,-0.412841,-1.220474,-1.229645,1.781017
4.0290771851E13,-1.30011,-1.578257,-1.172369,2.357038
4.0290791828E13,-2.304999,-1.845729,-1.058502,3.136903
4.0290811818E13,-3.338344,-1.995363,-0.923443,3.997344
4.0290331858E13,0.088095,-1.063912,-0.03861,1.068251
4.0290352075E13,0.138089,-1.322526,0.131389,1.336191
4.0290371851E13,0.243126,-1.527867,0.208085,1.561021
4.0290391833E13,0.404848,-1.677066,0.203487,1.737199
4.029041182E13,0.614067,-1.767259,0.143498,1.876399
4.0290431855E13,0.851478,-1.79403,0.062633,1.986827
4.029045211E13,1.090876,-1.751665,-0.003953,2.063578
4.0290471851E13,1.304534,-1.635073,-0.028929,2.091915
4.0290491826E13,1.469453,-1.442904,0.000363,2.059434
4.0290511826E13,1.572678,-1.180782,0.078328,1.968171
4.0290531855E13,1.614215,-0.863919,0.182157,1.839899
4.0290552075E13,1.606542,-0.517768,0.2775,1.710575
4.0290571846E13,1.570317,-0.176493,0.327131,1.61371
4.0290591826E13,1.527267,0.121026,0.300572,1.561261
4.029061182E13,1.491717,0.336756,0.182233,1.540075
4.0290631868E13,1.463316,0.439677,-0.023795,1.528128
4.029065184E13,1.423016,0.411185,-0.293673,1.510063
4.029067186E13,1.334,0.24896,-0.588602,1.479185
4.029069183E13,1.147895,-0.031717,-0.863472,1.436751
4.0290711826E13,0.815414,-0.399613,-1.077181,1.408868
4.0290731853E13,0.299356,-0.811947,-1.202,1.481106
4.0290752148E13,-0.412841,-1.220474,-1.229645,1.781017
4.0290771851E13,-1.30011,-1.578257,-1.172369,2.357038
4.0290791828E13,-2.304999,-1.845729,-1.058502,3.136903
4.0290811818E13,-3.338344,-1.995363,-0.923443,3.997344
4.0290831853E13,-4.291224,-2.014185,-0.79841,4.807183
4.0290852068E13,-5.052392,-1.90373,-0.699616,5.444292
4.0290871845E13,-5.528046,-1.677921,-0.620904,5.810356
4.0290891826E13,-5.659507,-1.359619,-0.532247,5.844815
4.0290911821E13,-5.435714,-0.976787,-0.384919,5.536178
4.0290931855E13,-4.89742,-0.558903,-0.122568,4.930732
4.0290952091E13,-4.131872,-0.134172,0.303993,4.145212
4.0290972E13,-3.258579,0.27212,0.921329,3.397239
4.029099182E13,-2.408824,0.638307,1.72094,3.028449
4.0291012116E13,-1.702575,0.946651,2.653129,3.291505
4.029103186E13,-1.227548,1.183679,3.629301,4.009962
4.0291052068E13,-1.024659,1.340803,4.533289,4.837188
4.0291076696E13,-1.082626,1.415248,5.239684,5.534374
4.0291091866E13,-1.342262,1.410879,5.635809,5.962767
4.0291112148E13,-1.710109,1.339176,5.643136,6.046722
4.0291131836E13,-2.078263,1.219266,5.23364,5.761664
4.0291152071E13,-2.346239,1.076814,4.437253,5.133574
4.0291171838E13,-2.440475,0.941365,3.339306,4.241822
4.0291191838E13,-2.327686,0.84211,2.067329,3.225077
4.029121198E13,-2.019364,0.802902,0.7694,2.305311
4.0291231956E13,-1.566847,0.83738,-0.411553,1.82362
4.0291252061E13,-1.048486,0.945373,-1.362795,1.962209
4.0291271836E13,-0.551924,1.111609,-2.021199,2.371822
4.029129184E13,-0.155367,1.307548,-2.383232,2.722795
4.0291311988E13,0.088122,1.496196,-2.503392,2.917762
4.0291331953E13,0.160006,1.639402,-2.48135,2.978311
4.0291352095E13,0.077569,1.706115,-2.440422,2.978675
4.0291371841E13,-0.112674,1.680049,-2.501698,3.015585
4.0291391845E13,-0.347848,1.565126,-2.758544,3.190639
4.0291411993E13,-0.564182,1.386956,-3.255779,3.58358
4.0291431961E13,-0.712062,1.189771,-3.977939,4.21267
4.0291452091E13,-0.766886,1.028843,-4.849626,5.016524
4.029147187E13,-0.733682,0.959866,-5.747804,5.873404
4.0291491838E13,-0.644453,1.026394,-6.521909,6.633558
4.0291512101E13,-0.548997,1.24857,-7.019022,7.150314
4.0291531851E13,-0.501771,1.61528,-7.110397,7.308806
4.0291552148E13,-0.548004,2.081895,-6.714041,7.050741
4.0291571836E13,-0.712346,2.574186,-5.809725,6.394277
4.0291591981E13,-0.9921,2.99865,-4.444197,5.452252
4.0291611991E13,-1.357276,3.257072,-2.725711,4.458724
4.0291631851E13,-1.756995,3.262963,-0.809181,3.793248
4.0291652066E13,-2.130392,2.957039,1.125093,3.814247
4.0291671836E13,-2.419932,2.318726,2.894998,4.428722
4.0291692183E13,-2.583862,1.371294,4.338972,5.232922
4.02917134E13,-2.604921,0.179513,5.334623,5.939363
4.0291731898E13,-2.493424,-1.15986,5.811053,6.428902
4.0291751883E13,-2.284297,-2.5331,5.753357,6.688477
4.0291771896E13,-2.028925,-3.827348,5.199601,6.767642
4.029179196E13,-1.783976,-4.947845,4.231606,6.750572
4.0291812131E13,-1.599691,-5.831539,2.961468,6.733212
4.0291831866E13,-1.510459,-6.454516,1.515997,6.800037
4.0291852108E13,-1.529691,-6.831846,0.021329,7.001037
4.029187184E13,-1.649896,-7.010104,-1.410303,7.338438
4.0291891861E13,-1.847629,-7.05431,-2.690474,7.772752
4.029191211E13,-2.091978,-7.032212,-3.760524,8.244387
4.029193185E13,-2.354225,-6.998922,-4.593085,8.69619
4.0291952058E13,-2.616105,-6.985168,-5.189671,9.086763
4.0291971998E13,-2.874563,-6.99159,-5.575006,9.392877
4.0291991833E13,-3.141769,-6.990221,-5.789085,9.604551
4.0292011841E13,-3.440251,-6.932502,-5.877958,9.718297
4.0292031855E13,-3.794639,-6.762411,-5.884607,9.734377
4.0292052255E13,-4.221732,-6.43173,-5.841128,9.659656
4.0292071843E13,-4.721296,-5.914087,-5.763413,9.512307
4.0292091853E13,-5.269978,-5.214941,-5.649167,9.321018
4.0292112126E13,-5.820438,-4.375045,-5.479408,9.112762
4.0292131851E13,-6.305715,-3.466499,-5.223446,8.89174
4.029215205E13,-6.648282,-2.581739,-4.846737,8.622986
4.0292171831E13,-6.771817,-1.817577,-4.320447,8.235736
4.029219185E13,-6.613987,-1.257338,-3.630962,7.649158
4.0292211991E13,-6.136897,-0.954398,-2.787664,6.807602
4.0292231848E13,-5.333743,-0.920087,-1.826849,5.712508
4.0292252071E13,-4.230284,-1.118615,-0.8109,4.450186
4.0292271833E13,-2.881352,-1.470282,0.177357,3.239657
4.0292291851E13,-1.363024,-1.862544,1.044885,2.533513
4.0292311995E13,0.237724,-2.16675,1.701684,2.765329
4.0291831866E13,-1.510459,-6.454516,1.515997,6.800037
4.0291852108E13,-1.529691,-6.831846,0.021329,7.001037
4.029187184E13,-1.649896,-7.010104,-1.410303,7.338438
4.0291891861E13,-1.847629,-7.05431,-2.690474,7.772752
4.029191211E13,-2.091978,-7.032212,-3.760524,8.244387
4.029193185E13,-2.354225,-6.998922,-4.593085,8.69619
4.0291952058E13,-2.616105,-6.985168,-5.189671,9.086763
4.0291971998E13,-2.874563,-6.99159,-5.575006,9.392877
4.0291991833E13,-3.141769,-6.990221,-5.789085,9.604551
4.0292011841E13,-3.440251,-6.932502,-5.877958,9.718297
4.0292031855E13,-3.794639,-6.762411,-5.884607,9.734377
4.0292052255E13,-4.221732,-6.43173,-5.841128,9.659656
4.0292071843E13,-4.721296,-5.914087,-5.763413,9.512307
4.0292091853E13,-5.269978,-5.214941,-5.649167,9.321018
4.0292112126E13,-5.820438,-4.375045,-5.479408,9.112762
4.0292131851E13,-6.305715,-3.466499,-5.223446,8.89174
4.029215205E13,-6.648282,-2.581739,-4.846737,8.622986
4.0292171831E13,-6.771817,-1.817577,-4.320447,8.235736
4.029219185E13,-6.613987,-1.257338,-3.630962,7.649158
4.0292211991E13,-6.136897,-0.954398,-2.787664,6.807602
4.0292231848E13,-5.333743,-0.920087,-1.826849,5.712508
4.0292252071E13,-4.230284,-1.118615,-0.8109,4.450186
4.0292271833E13,-2.881352,-1.470282,0.177357,3.239657
4.0292291851E13,-1.363024,-1.862544,1.044885,2.533513
4.0292311995E13,0.237724,-2.16675,1.701684,2.765329
4.029233185E13,1.833503,-2.258208,2.07463,3.57286
4.0292352056E13,3.34556,-2.035816,2.11994,4.453253
4.0292371835E13,4.709413,-1.438461,1.8315,5.253773
4.0292391853E13,5.877088,-0.455148,1.243514,6.024421
4.0292411991E13,6.816191,0.872463,0.426602,6.88503
4.0292431846E13,7.506672,2.45527,-0.522261,7.915253
4.029245211E13,7.937174,4.168754,-1.494511,9.089048
4.0292471835E13,8.102189,5.86966,-2.386847,10.28569
4.0292491856E13,8.001238,7.414604,-3.117265,11.345197
4.0292511991E13,7.64021,8.677683,-3.63751,12.120498
4.0292531848E13,7.034331,9.564777,-3.939658,12.509503
4.0292552135E13,6.211793,10.022768,-4.055538,12.469549
4.0292571855E13,5.216456,10.042768,-4.049251,12.019361
4.0292591863E13,4.108154,9.657692,-4.004338,11.233106
4.0292611338E13,2.959533,8.935336,-4.007228,10.230198
4.0292631861E13,1.849841,7.968314,-4.129712,9.16354
4.029265209E13,0.856008,6.862792,-4.415243,8.205183
4.0292671851E13,0.04211,5.727333,-4.870675,7.518483
4.0292691853E13,-0.549279,4.663038,-5.463084,7.203535
4.0292711835E13,-0.904254,3.755345,-6.123992,7.240412
4.0292731853E13,-1.039302,3.068992,-6.759525,7.496002
4.0292752115E13,-0.998289,2.644695,-7.264921,7.795516
4.0292771846E13,-0.844523,2.497565,-7.540325,7.987963
4.0292791858E13,-0.64916,2.617007,-7.505523,7.975149
4.029281199E13,-0.478631,2.967982,-7.111724,7.721051
4.029233185E13,1.833503,-2.258208,2.07463,3.57286
4.0292352056E13,3.34556,-2.035816,2.11994,4.453253
4.0292371835E13,4.709413,-1.438461,1.8315,5.253773
4.0292391853E13,5.877088,-0.455148,1.243514,6.024421
4.0292411991E13,6.816191,0.872463,0.426602,6.88503
4.0292431846E13,7.506672,2.45527,-0.522261,7.915253
4.029245211E13,7.937174,4.168754,-1.494511,9.089048
4.0292471835E13,8.102189,5.86966,-2.386847,10.28569
4.0292491856E13,8.001238,7.414604,-3.117265,11.345197
4.0292511991E13,7.64021,8.677683,-3.63751,12.120498
4.0292531848E13,7.034331,9.564777,-3.939658,12.509503
4.0292552135E13,6.211793,10.022768,-4.055538,12.469549
4.0292571855E13,5.216456,10.042768,-4.049251,12.019361
4.0292591863E13,4.108154,9.657692,-4.004338,11.233106
4.0292611338E13,2.959533,8.935336,-4.007228,10.230198
4.0292631861E13,1.849841,7.968314,-4.129712,9.16354
4.029265209E13,0.856008,6.862792,-4.415243,8.205183
4.0292671851E13,0.04211,5.727333,-4.870675,7.518483
4.0292691853E13,-0.549279,4.663038,-5.463084,7.203535
4.0292711835E13,-0.904254,3.755345,-6.123992,7.240412
4.0292731853E13,-1.039302,3.068992,-6.759525,7.496002
4.0292752115E13,-0.998289,2.644695,-7.264921,7.795516
4.0292771846E13,-0.844523,2.497565,-7.540325,7.987963
4.0292791858E13,-0.64916,2.617007,-7.505523,7.975149
4.029281199E13,-0.478631,2.967982,-7.111724,7.721051
4.0292831885E13,-0.383171,3.493226,-6.34866,7.256372
4.0292851843E13,-0.388793,4.116993,-5.246011,6.679927
4.0292871831E13,-0.494263,4.750404,-3.869859,6.147068
4.0292891861E13,-0.673702,5.298493,-2.315083,5.821299
4.0292911988E13,-0.884022,5.668868,-0.694772,5.779296
4.0292931853E13,-1.075336,5.781423,0.87182,5.944853
4.0292953338E13,-1.202217,5.578084,2.270964,6.141468
4.0292972033E13,-1.23355,5.031232,3.404351,6.198754
4.0292991833E13,-1.15898,4.149572,4.196991,6.014726
4.0293012066E13,-0.990359,2.979773,4.602749,5.571818
4.029303185E13,-0.758073,1.603352,4.60713,4.936705
4.0293052258E13,-0.503499,0.128535,4.227548,4.259366
4.029307184E13,-0.269345,-1.322184,3.511151,3.761502
4.0293091856E13,-0.09007,-2.627338,2.53051,3.648904
4.0293112078E13,0.015392,-3.682449,1.377283,3.931612
4.0293131853E13,0.046981,-4.414216,0.154084,4.417154
4.0293152223E13,0.022338,-4.79045,-1.034912,4.901016
4.0293172138E13,-0.028602,-4.823887,-2.09388,5.258806
4.0293192135E13,-0.071896,-4.569377,-2.944737,5.436529
4.0293212346E13,-0.078618,-4.114209,-3.535026,5.424878
4.0293231848E13,-0.032548,-3.563414,-3.843057,5.240998
4.0293252076E13,0.06559,-3.022371,-3.87957,4.918343
4.0293271838E13,0.19801,-2.579484,-3.685134,4.502572
4.0293291861E13,0.334007,-2.292133,-3.323427,4.051
4.0293311986E13,0.437792,-2.178358,-2.871076,3.630424
4.0292831885E13,-0.383171,3.493226,-6.34866,7.256372
4.0292851843E13,-0.388793,4.116993,-5.246011,6.679927
4.0292871831E13,-0.494263,4.750404,-3.869859,6.147068
4.0292891861E13,-0.673702,5.298493,-2.315083,5.821299
4.0292911988E13,-0.884022,5.668868,-0.694772,5.779296
4.0292931853E13,-1.075336,5.781423,0.87182,5.944853
4.0292953338E13,-1.202217,5.578084,2.270964,6.141468
4.0292972033E13,-1.23355,5.031232,3.404351,6.198754
4.0292991833E13,-1.15898,4.149572,4.196991,6.014726
4.0293012066E13,-0.990359,2.979773,4.602749,5.571818
4.029303185E13,-0.758073,1.603352,4.60713,4.936705
4.0293052258E13,-0.503499,0.128535,4.227548,4.259366
4.029307184E13,-0.269345,-1.322184,3.511151,3.761502
4.0293091856E13,-0.09007,-2.627338,2.53051,3.648904
4.0293112078E13,0.015392,-3.682449,1.377283,3.931612
4.0293131853E13,0.046981,-4.414216,0.154084,4.417154
4.0293152223E13,0.022338,-4.79045,-1.034912,4.901016
4.0293172138E13,-0.028602,-4.823887,-2.09388,5.258806
4.0293192135E13,-0.071896,-4.569377,-2.944737,5.436529
4.0293212346E13,-0.078618,-4.114209,-3.535026,5.424878
4.0293231848E13,-0.032548,-3.563414,-3.843057,5.240998
4.0293252076E13,0.06559,-3.022371,-3.87957,4.918343
4.0293271838E13,0.19801,-2.579484,-3.685134,4.502572
4.0293291861E13,0.334007,-2.292133,-3.323427,4.051
4.0293311986E13,0.437792,-2.178358,-2.871076,3.630424
4.0293331848E13,0.477823,-2.215792,-2.405535,3.305245
4.0293352066E13,0.435549,-2.347959,-1.993146,3.110505
4.0293371838E13,0.311447,-2.497032,-1.679049,3.025123
4.0293391858E13,0.127097,-2.580557,-1.480902,2.978002
4.029341213E13,-0.07783,-2.528938,-1.387007,2.885372
4.0293431846E13,-0.252888,-2.300251,-1.359487,2.683898
4.0293452091E13,-0.347335,-1.89026,-1.342121,2.344144
4.0293471841E13,-0.321387,-1.334857,-1.271272,1.871167
4.0293491851E13,-0.155714,-0.704632,-1.088014,1.305576
4.0293511978E13,0.142661,-0.092512,-0.749486,0.768531
4.0293531851E13,0.539606,0.403279,-0.237017,0.714132
4.0293552061E13,0.978607,0.697988,0.440254,1.28011
4.0293571838E13,1.389788,0.73701,1.246293,2.006973
4.0293591855E13,1.702089,0.507298,2.12357,2.768395
4.0293611958E13,1.855907,0.041403,3.001663,3.529318
4.0293631881E13,1.813842,-0.586871,3.807284,4.257917
4.0293651843E13,1.567441,-1.274464,4.473801,4.90877
4.0293671826E13,1.138691,-1.90651,4.948546,5.423976
4.0293691855E13,0.576084,-2.376141,5.196916,5.743332
4.0293712151E13,-0.053985,-2.602966,5.202806,5.817864
4.0293731843E13,-0.678761,-2.546597,4.965957,5.621975
4.0293752091E13,-1.230983,-2.213132,4.49738,5.161366
4.0293771831E13,-1.659445,-1.652815,3.814633,4.476268
4.0293791853E13,-1.935622,-0.949819,2.938529,3.644687
4.0293812003E13,-2.055791,-0.205735,1.892123,2.801559
4.0293331848E13,0.477823,-2.215792,-2.405535,3.305245
4.0293352066E13,0.435549,-2.347959,-1.993146,3.110505
4.0293371838E13,0.311447,-2.497032,-1.679049,3.025123
4.0293391858E13,0.127097,-2.580557,-1.480902,2.978002
4.029341213E13,-0.07783,-2.528938,-1.387007,2.885372
4.0293431846E13,-0.252888,-2.300251,-1.359487,2.683898
4.0293452091E13,-0.347335,-1.89026,-1.342121,2.344144
4.0293471841E13,-0.321387,-1.334857,-1.271272,1.871167
4.0293491851E13,-0.155714,-0.704632,-1.088014,1.305576
4.0293511978E13,0.142661,-0.092512,-0.749486,0.768531
4.0293531851E13,0.539606,0.403279,-0.237017,0.714132
4.0293552061E13,0.978607,0.697988,0.440254,1.28011
4.0293571838E13,1.389788,0.73701,1.246293,2.006973
4.0293591855E13,1.702089,0.507298,2.12357,2.768395
4.0293611958E13,1.855907,0.041403,3.001663,3.529318
4.0293631881E13,1.813842,-0.586871,3.807284,4.257917
4.0293651843E13,1.567441,-1.274464,4.473801,4.90877
4.0293671826E13,1.138691,-1.90651,4.948546,5.423976
4.0293691855E13,0.576084,-2.376141,5.196916,5.743332
4.0293712151E13,-0.053985,-2.602966,5.202806,5.817864
4.0293731843E13,-0.678761,-2.546597,4.965957,5.621975
4.0293752091E13,-1.230983,-2.213132,4.49738,5.161366
4.0293771831E13,-1.659445,-1.652815,3.814633,4.476268
4.0293791853E13,-1.935622,-0.949819,2.938529,3.644687
4.0293812003E13,-2.055791,-0.205735,1.892123,2.801559
4.0293831851E13,-2.038418,0.480316,0.700749,2.208371
4.0293852061E13,-1.917144,1.030338,-0.604243,2.258794
4.0293871833E13,-1.732375,1.401417,-1.981042,2.981547
4.0293891855E13,-1.522315,1.593601,-3.373901,4.029915
4.0293912018E13,-1.315379,1.648669,-4.71133,5.161876
