't             ','x             ','y             ','z             ',magnitude
1.0772129636E13,-2.475684,1.982552,2.610671,4.107935
1.0772148808E13,-2.529417,1.834524,1.809774,3.610916
1.0772168754E13,-2.41581,1.639759,0.913342,3.059271
1.0772188786E13,-2.166768,1.415472,-0.006788,2.588144
1.0772208939E13,-1.829192,1.171888,-0.88035,2.343988
1.0772228789E13,-1.455275,0.912368,-1.647041,2.379703
1.0772248768E13,-1.092224,0.636218,-2.263275,2.592323
1.0772268771E13,-0.773602,0.343276,-2.706128,2.835388
1.0772288788E13,-0.514128,0.038851,-2.973807,3.018172
1.0772308938E13,-0.309023,-0.262619,-3.082658,3.109219
1.0772328834E13,-0.137958,-0.53657,-3.061428,3.111154
1.0772348763E13,0.027391,-0.75076,-2.944032,3.038374
1.0772368771E13,0.213998,-0.871038,-2.762384,2.904353
1.0772388791E13,0.438621,-0.869473,-2.540761,2.720999
1.0772408939E13,0.701586,-0.73307,-2.292823,2.507319
1.0772428793E13,0.984759,-0.47097,-2.021758,2.297622
1.0772448771E13,1.254321,-0.118126,-1.723294,2.134717
1.0772468771E13,1.467756,0.265974,-1.390666,2.039363
1.0772488788E13,1.583477,0.604,-1.020173,1.978122
1.0772508936E13,1.570827,0.812177,-0.615851,1.872539
1.0772528793E13,1.418025,0.814606,-0.192031,1.646589
1.0772548768E13,1.136088,0.55793,0.226911,1.285874
1.0772568766E13,0.757637,0.023484,0.609577,0.972702
1.0772588793E13,0.330727,-0.765645,0.922614,1.243708
1.0772608934E13,-0.090989,-1.744381,1.136553,2.083962
1.0772628791E13,-0.459508,-2.81275,1.230946,3.104503
1.0772648759E13,-0.742489,-3.849436,1.197463,4.099191
1.0772668771E13,-0.929613,-4.729677,1.040172,4.931124
1.0772688788E13,-1.033674,-5.344528,0.772906,5.498167
1.0772708941E13,-1.086014,-5.618214,0.414463,5.737206
1.0772729331E13,-1.127314,-5.520622,-0.017033,5.634571
1.0772748774E13,-1.195885,-5.072841,-0.508924,5.236684
1.0772768761E13,-1.31633,-4.344948,-1.056451,4.661264
1.0772788794E13,-1.491478,-3.446557,-1.661809,4.106686
1.0772808938E13,-1.699805,-2.511915,-2.329713,3.824476
1.0772828796E13,-1.899328,-1.6821,-3.060308,3.975222
1.0772848769E13,-2.037425,-1.087216,-3.841144,4.481912
1.0772868906E13,-2.064558,-0.831185,-4.640462,5.146568
1.0772888766E13,-1.948775,-0.981023,-5.404016,5.827823
1.0772908933E13,-1.68753,-1.561501,-6.057141,6.478812
1.0772928789E13,-1.313705,-2.555036,-6.512731,7.118265
1.0772948749E13,-0.893933,-3.905848,-6.684439,7.793362
1.0772968773E13,-0.518921,-5.526896,-6.503129,8.550236
1.0772988788E13,-0.287316,-7.30809,-5.933534,9.417938
1.0773008936E13,-0.286174,-9.124559,-4.987637,10.402691
1.0773028788E13,-0.572026,-10.844368,-3.731493,11.482664
1.0773048764E13,-1.156584,-12.335663,-2.283236,12.59839
1.0773068806E13,-2.00034,-13.473702,-0.801508,13.644941
1.0773088788E13,-3.015714,-14.148401,0.534562,14.476102
1.0773108771E13,-4.079456,-14.272783,1.550968,14.92514
1.0772628791E13,-0.459508,-2.81275,1.230946,3.104503
1.0772648759E13,-0.742489,-3.849436,1.197463,4.099191
1.0772668771E13,-0.929613,-4.729677,1.040172,4.931124
1.0772688788E13,-1.033674,-5.344528,0.772906,5.498167
1.0772708941E13,-1.086014,-5.618214,0.414463,5.737206
1.0772729331E13,-1.127314,-5.520622,-0.017033,5.634571
1.0772748774E13,-1.195885,-5.072841,-0.508924,5.236684
1.0772768761E13,-1.31633,-4.344948,-1.056451,4.661264
1.0772788794E13,-1.491478,-3.446557,-1.661809,4.106686
1.0772808938E13,-1.699805,-2.511915,-2.329713,3.824476
1.0772828796E13,-1.899328,-1.6821,-3.060308,3.975222
1.0772848769E13,-2.037425,-1.087216,-3.841144,4.481912
1.0772868906E13,-2.064558,-0.831185,-4.640462,5.146568
1.0772888766E13,-1.948775,-0.981023,-5.404016,5.827823
1.0772908933E13,-1.68753,-1.561501,-6.057141,6.478812
1.0772928789E13,-1.313705,-2.555036,-6.512731,7.118265
1.0772948749E13,-0.893933,-3.905848,-6.684439,7.793362
1.0772968773E13,-0.518921,-5.526896,-6.503129,8.550236
1.0772988788E13,-0.287316,-7.30809,-5.933534,9.417938
1.0773008936E13,-0.286174,-9.124559,-4.987637,10.402691
1.0773028788E13,-0.572026,-10.844368,-3.731493,11.482664
1.0773048764E13,-1.156584,-12.335663,-2.283236,12.59839
1.0773068806E13,-2.00034,-13.473702,-0.801508,13.644941
1.0773088788E13,-3.015714,-14.148401,0.534562,14.476102
1.0773108771E13,-4.079456,-14.272783,1.550968,14.92514
1.0773128804E13,-5.052077,-13.792216,2.105812,14.83857
1.0773148763E13,-5.800555,-12.693565,2.112899,14.115147
1.0773168773E13,-6.219875,-11.012735,1.557474,12.743347
1.0773188793E13,-6.249197,-8.838641,0.500895,10.836278
1.0773208898E13,-5.879577,-6.311673,-0.927095,8.675607
1.0773228906E13,-5.151996,-3.615292,-2.547535,6.789944
1.0773248769E13,-4.146464,-0.960428,-4.159792,5.951425
1.0773268768E13,-2.964856,1.436252,-5.572741,6.473688
1.0773288784E13,-1.71137,3.377757,-6.634098,7.638671
1.0773308926E13,-0.474833,4.71225,-7.25268,8.662109
1.0773328906E13,0.68347,5.354426,-7.409616,9.167302
1.0773348749E13,1.734237,5.298808,-7.156603,9.07204
1.0773368766E13,2.676462,4.621979,-6.601709,8.491685
1.0773388791E13,3.527212,3.472505,-5.885581,7.690226
1.0773408933E13,4.307893,2.049363,-5.152703,7.021978
1.0773428903E13,5.03084,0.571874,-4.52329,6.789443
1.0773448766E13,5.689814,-0.75417,-4.071193,7.036858
1.0773468803E13,6.256991,-1.768513,-3.811999,7.537168
1.0773488796E13,6.687274,-2.380967,-3.703478,8.006521
1.0773508766E13,6.928923,-2.583978,-3.658105,8.250373
1.0773528888E13,6.937802,-2.450738,-3.564998,8.176089
1.0773548769E13,6.691546,-2.118902,-3.316815,7.763234
1.0773568776E13,6.199883,-1.762651,-2.836158,7.041966
1.0773588788E13,5.508127,-1.558006,-2.096191,6.095971
1.0773608928E13,4.692502,-1.647688,-1.131289,5.100419
1.0773128804E13,-5.052077,-13.792216,2.105812,14.83857
1.0773148763E13,-5.800555,-12.693565,2.112899,14.115147
1.0773168773E13,-6.219875,-11.012735,1.557474,12.743347
1.0773188793E13,-6.249197,-8.838641,0.500895,10.836278
1.0773208898E13,-5.879577,-6.311673,-0.927095,8.675607
1.0773228906E13,-5.151996,-3.615292,-2.547535,6.789944
1.0773248769E13,-4.146464,-0.960428,-4.159792,5.951425
1.0773268768E13,-2.964856,1.436252,-5.572741,6.473688
1.0773288784E13,-1.71137,3.377757,-6.634098,7.638671
1.0773308926E13,-0.474833,4.71225,-7.25268,8.662109
1.0773328906E13,0.68347,5.354426,-7.409616,9.167302
1.0773348749E13,1.734237,5.298808,-7.156603,9.07204
1.0773368766E13,2.676462,4.621979,-6.601709,8.491685
1.0773388791E13,3.527212,3.472505,-5.885581,7.690226
1.0773408933E13,4.307893,2.049363,-5.152703,7.021978
1.0773428903E13,5.03084,0.571874,-4.52329,6.789443
1.0773448766E13,5.689814,-0.75417,-4.071193,7.036858
1.0773468803E13,6.256991,-1.768513,-3.811999,7.537168
1.0773488796E13,6.687274,-2.380967,-3.703478,8.006521
1.0773508766E13,6.928923,-2.583978,-3.658105,8.250373
1.0773528888E13,6.937802,-2.450738,-3.564998,8.176089
1.0773548769E13,6.691546,-2.118902,-3.316815,7.763234
1.0773568776E13,6.199883,-1.762651,-2.836158,7.041966
1.0773588788E13,5.508127,-1.558006,-2.096191,6.095971
1.0773608928E13,4.692502,-1.647688,-1.131289,5.100419
1.0773628909E13,3.847901,-2.112022,-0.035507,4.38956
1.0773648759E13,3.070553,-2.951365,1.051006,4.386737
1.0773668769E13,2.439458,-4.083494,1.96519,5.146635
1.0773688788E13,2.000855,-5.356661,2.549586,6.2608
1.0773708921E13,1.759472,-6.576092,2.680913,7.316285
1.0773729699E13,1.678824,-7.539213,2.293477,8.057185
1.0773748863E13,1.690785,-8.073178,1.393147,8.365154
1.0773768763E13,1.712472,-8.067817,0.059425,8.247773
1.0773788791E13,1.666731,-7.497891,-1.564701,7.838664
1.0773808919E13,1.501502,-6.430467,-3.293222,7.379074
1.0773828906E13,1.203499,-5.015937,-4.924276,7.131376
1.0773848846E13,0.802774,-3.46418,-6.269283,7.207559
1.0773868929E13,0.366761,-2.01005,-7.179214,7.464311
1.0773888761E13,-0.015204,-0.874287,-7.563817,7.614193
1.0773908923E13,-0.253638,-0.226745,-7.401069,7.408884
1.0773928799E13,-0.282144,-0.158335,-6.735918,6.743683
1.0773949261E13,-0.07675,-0.666489,-5.669253,5.708812
1.0773968823E13,0.333311,-1.656448,-4.339604,4.656938
1.0773988859E13,0.866326,-2.957886,-2.901082,4.232716
1.0774008834E13,1.400789,-4.353693,-1.501413,4.813636
1.0774028858E13,1.797902,-5.6157,-0.263486,5.902369
1.0774049516E13,1.929457,-6.541097,0.727088,6.858382
1.0774068834E13,1.705375,-6.983381,1.427204,7.328903
1.0774088833E13,1.095014,-6.872881,1.834478,7.197282
1.0774108798E13,0.137546,-6.223889,1.979767,6.532625
