't             ','x             ','y             ','z             ',magnitude
623540693000,0.2997,0.144986,-0.371502,0.498853
623560239000,0.391867,0.107496,-0.21628,0.460317
623580688000,0.484735,0.001618,-0.005835,0.484773
623597811000,0.561611,-0.15842,0.203626,0.618035
623617906000,0.602564,-0.341603,0.349629,0.775897
623638086000,0.587402,-0.505507,0.378976,0.862671
623657868000,0.499173,-0.60502,0.261902,0.826931
623677874000,0.327553,-0.602612,0.001907,0.685883
623697856000,0.071618,-0.4778,-0.362047,0.603738
623717874000,-0.258732,-0.233386,-0.762426,0.838275
623737876000,-0.643072,0.103299,-1.118289,1.294134
623757883000,-1.05203,0.484963,-1.355539,1.783099
623777863000,-1.450548,0.854237,-1.428176,2.207599
623797876000,-1.802489,1.157466,-1.334952,2.524043
623817856000,-2.075409,1.359054,-1.126702,2.724666
623837798000,-2.244917,1.453323,-0.901988,2.822301
623857826000,-2.298103,1.470911,-0.790093,2.840617
623877973000,-2.23561,1.477437,-0.923634,2.834409
623897831000,-2.072079,1.56385,-1.406164,2.95236
623917806000,-1.835145,1.829579,-2.281502,3.452588
623937798000,-1.562863,2.360659,-3.511707,4.510802
623957828000,-1.300911,3.208341,-4.969552,6.056589
623977971000,-1.098829,4.371345,-6.448444,7.867561
623997828000,-1.00533,5.784909,-7.690846,9.676
624017808000,-1.063807,7.32073,-8.430351,11.215863
624037799000,-1.308521,8.799489,-8.440386,12.263089
624057826000,-1.760938,10.014019,-7.580979,12.682772
624077981000,-2.426498,10.759441,-5.83417,12.47762
624097829000,-3.292574,10.866926,-3.320064,11.830214
624117809000,-4.327362,10.233654,-0.289441,11.114743
624137821000,-5.479705,8.843928,2.906946,10.802433
624157831000,-6.681232,6.778195,5.868676,11.18142
624177976000,-7.850877,4.207524,8.20655,12.111441
624197823000,-8.901381,1.373826,9.604103,13.166654
624217809000,-9.747776,-1.441295,9.86891,13.946034
624237796000,-10.316642,-3.954913,8.96519,14.22846
624257828000,-10.555365,-5.921828,7.019788,13.991469
624277971000,-10.440907,-7.167667,4.301406,13.37498
624297831000,-9.985882,-7.611026,1.17738,12.61078
624317811000,-9.239111,-7.272046,-1.94528,11.917548
624337793000,-8.281769,-6.265927,-4.683426,11.392279
624357829000,-7.219144,-4.782595,-6.735129,10.97047
624377976000,-6.168134,-3.056255,-7.921259,10.494424
624397829000,-5.242096,-1.330126,-8.204697,9.826793
624417804000,-4.535341,0.178054,-7.685042,8.925295
624437798000,-4.109766,1.304383,-6.57089,7.859274
624457838000,-3.985816,1.957224,-5.13587,6.789301
624477974000,-4.140078,2.123443,-3.668054,5.924852
624497828000,-4.509557,1.860817,-2.422441,5.446739
624517811000,-5.001543,1.281683,-1.583169,5.400423
624537791000,-5.50908,0.529158,-1.241494,5.671973
624557828000,-5.929457,-0.248654,-1.393409,6.096055
624577983000,-6.181297,-0.922067,-1.954959,6.54832
624597836000,-6.21736,-1.398477,-2.788426,6.956049
624617871000,-6.032175,-1.632641,-3.734495,7.280048
624637863000,-5.662133,-1.627453,-4.643751,7.501519
624657829000,-5.17786,-1.426286,-5.400714,7.616576
624677823000,-4.670389,-1.099087,-5.936981,7.633366
624697829000,-4.233624,-0.725231,-6.232661,7.569386
624717851000,-3.946379,-0.376583,-6.307254,7.449642
624738021000,-3.85734,-0.103789,-6.204007,7.306131
624757904000,-3.975661,0.071915,-5.972599,7.175165
624777906000,-4.26925,0.160243,-5.654724,7.087177
624797908000,-4.671031,0.196952,-5.275447,7.048947
624817824000,-5.091357,0.23382,-4.842455,7.03036
624837734000,-5.434746,0.325363,-4.351673,6.969891
624857834000,-5.617807,0.515375,-3.797068,6.800227
624878069000,-5.584153,0.825613,-3.181499,6.479687
624897903000,-5.313815,1.249,-2.524685,6.014205
624917858000,-4.825334,1.74878,-1.865829,5.46108
624937794000,-4.170229,2.263581,-1.259778,4.909343
624957831000,-3.42111,2.717661,-0.767551,4.436081
624978039000,-2.65579,3.033818,-0.443506,4.056349
624997888000,-1.942112,3.149335,-0.322366,3.714031
625017859000,-1.324411,3.028581,-0.409101,3.330725
625042009000,-0.815531,2.670898,-0.675159,2.873086
625058076000,-0.396174,2.112986,-1.061816,2.397732
625078161000,-0.021565,1.424957,-1.490202,2.061957
625097891000,0.366538,0.700334,-1.876323,2.036027
625117813000,0.825019,0.041387,-2.147623,2.301011
625137811000,1.394857,-0.458277,-2.257233,2.692721
625157828000,2.0897,-0.729271,-2.192656,3.115513
625177869000,2.891272,-0.739574,-1.977464,3.580054
625197838000,3.751727,-0.501818,-1.665382,4.135308
625217796000,4.602159,-0.072961,-1.327825,4.79044
625237804000,5.36561,0.453835,-1.037946,5.483892
625257823000,5.971781,0.963975,-0.854937,6.1092
625277983000,6.370368,1.340526,-0.810958,6.560202
625297828000,6.539879,1.484011,-0.903685,6.766754
625317804000,6.490638,1.330049,-1.097527,6.715801
625337799000,6.261076,0.862117,-1.33167,6.458921
625357808000,5.907512,0.117277,-1.532907,6.104282
625377963000,5.492217,-0.817868,-1.631271,5.787435
625397839000,5.070954,-1.820046,-1.574575,5.613059
625417808000,4.682741,-2.748524,-1.339059,5.592453
625437804000,4.344542,-3.467911,-0.934073,5.636838
625457821000,4.051809,-3.870948,-0.400188,5.617966
625477971000,3.784303,-3.897408,0.198583,5.436008
625497826000,3.515528,-3.545878,0.786893,5.054838
625517809000,3.223908,-2.876133,1.291374,4.509253
625042009000,-0.815531,2.670898,-0.675159,2.873086
625058076000,-0.396174,2.112986,-1.061816,2.397732
625078161000,-0.021565,1.424957,-1.490202,2.061957
625097891000,0.366538,0.700334,-1.876323,2.036027
625117813000,0.825019,0.041387,-2.147623,2.301011
625137811000,1.394857,-0.458277,-2.257233,2.692721
625157828000,2.0897,-0.729271,-2.192656,3.115513
625177869000,2.891272,-0.739574,-1.977464,3.580054
625197838000,3.751727,-0.501818,-1.665382,4.135308
625217796000,4.602159,-0.072961,-1.327825,4.79044
625237804000,5.36561,0.453835,-1.037946,5.483892
625257823000,5.971781,0.963975,-0.854937,6.1092
625277983000,6.370368,1.340526,-0.810958,6.560202
625297828000,6.539879,1.484011,-0.903685,6.766754
625317804000,6.490638,1.330049,-1.097527,6.715801
625337799000,6.261076,0.862117,-1.33167,6.458921
625357808000,5.907512,0.117277,-1.532907,6.104282
625377963000,5.492217,-0.817868,-1.631271,5.787435
625397839000,5.070954,-1.820046,-1.574575,5.613059
625417808000,4.682741,-2.748524,-1.339059,5.592453
625437804000,4.344542,-3.467911,-0.934073,5.636838
625457821000,4.051809,-3.870948,-0.400188,5.617966
625477971000,3.784303,-3.897408,0.198583,5.436008
625497826000,3.515528,-3.545878,0.786893,5.054838
625517809000,3.223908,-2.876133,1.291374,4.509253
625537806000,2.899538,-2.001058,1.652079,3.891133
625557829000,2.549646,-1.071267,1.830495,3.316477
625577961000,2.197424,-0.251853,1.814168,2.860648
625597834000,1.875431,0.303884,1.615981,2.49419
625617813000,1.615229,0.479158,1.268718,2.109076
625637801000,1.436117,0.212908,0.81709,1.665952
625657826000,1.335829,-0.489191,0.310211,1.456014
625677968000,1.285656,-1.554544,-0.204714,2.027665
625697858000,1.232434,-2.853561,-0.686799,3.1833
625717921000,1.107496,-4.218179,-1.10365,4.498625
625737864000,0.84111,-5.46643,-1.431438,5.712998
625757803000,0.379392,-6.429076,-1.653911,6.649239
625777804000,-0.300029,-6.974129,-1.761075,7.199297
625797828000,-1.17743,-7.025528,-1.748764,7.335023
625818256000,-2.188303,-6.573161,-1.619388,7.1146
625837813000,-3.23003,-5.672883,-1.383296,6.672945
625857826000,-4.177213,-4.436697,-1.060167,6.185252
625877963000,-4.903149,-3.014805,-0.67964,5.795846
625897826000,-5.303276,-1.572634,-0.279903,5.538615
625917806000,-5.315745,-0.266606,0.095913,5.32329
625937826000,-4.935115,0.777256,0.405486,5.012375
625957831000,-4.215561,1.478931,0.61412,4.509471
625977961000,-3.262737,1.811837,0.701451,3.797399
625997829000,-2.21559,1.801264,0.666307,2.932124
626017838000,-1.221646,1.514791,0.527873,2.016349
626537801000,2.638942,1.355531,1.876846,3.51056
626557754000,2.362,0.418252,2.274547,3.305683
626577966000,1.872504,-0.604644,2.421621,3.120275
626599363000,1.174249,-1.539203,2.342064,3.03863
626618683000,0.31811,-2.221828,2.081011,3.060771
626637834000,-0.603306,-2.527507,1.693954,3.101895
626657828000,-1.469731,-2.392198,1.235483,3.067432
626677809000,-2.154778,-1.824053,0.75145,2.921457
626697823000,-2.548759,-0.901614,0.276231,2.717607
626718591000,-2.580653,0.239812,-0.166997,2.597146
626738046000,-2.232999,1.432012,-0.562736,2.711755
626757846000,-1.546923,2.503098,-0.897855,3.076461
626777809000,-0.616571,3.306492,-1.157445,3.557068
626797826000,0.426011,3.744025,-1.323191,3.993751
626817756000,1.432704,3.778847,-1.375025,4.268843
626837959000,2.263952,3.436268,-1.295935,4.314263
626857826000,2.811346,2.792882,-1.078735,4.107009
626877963000,3.014407,1.956945,-0.732316,3.667775
626897829000,2.868761,1.044328,-0.285612,3.066265
626917829000,2.424767,0.155735,0.21274,2.439059
626937946000,1.777059,-0.640087,0.700167,2.014419
626957823000,1.047317,-1.31392,1.109943,2.013761
626977973000,0.363406,-1.873161,1.384237,2.35731
626997848000,-0.161305,-2.349807,1.487353,2.785648
627017844000,-0.445386,-2.782869,1.415646,3.153852
627037956000,-0.450798,-3.19973,1.201268,3.447395
627057831000,-0.18754,-3.601726,0.908167,3.719189
627077813000,0.289474,-3.958014,0.62095,4.016871
627097828000,0.890089,-4.209249,0.427558,4.323522
627117829000,1.502367,-4.280992,0.399146,4.554484
627137959000,2.008687,-4.103519,0.571724,4.604407
627157828000,2.302317,-3.633513,0.933577,4.401664
627177989000,2.3026,-2.871925,1.421612,3.945999
627197829000,1.966331,-1.873495,1.928551,3.331029
627217829000,1.295208,-0.744003,2.32046,2.759644
627237953000,0.337454,0.3741,2.461433,2.512464
627257826000,-0.816619,1.32559,2.241054,2.728805
627277958000,-2.044086,1.97167,1.599295,3.259374
627297831000,-3.203433,2.218074,0.543807,3.934154
627317833000,-4.151853,2.035709,-0.844721,4.70059
627337934000,-4.763835,1.468603,-2.420424,5.541604
627357823000,-4.948941,0.627334,-3.991434,6.388827
627377961000,-4.666604,-0.331473,-5.34887,7.106158
627397879000,-3.933872,-1.235317,-6.300789,7.530026
627417868000,-2.825725,-1.930233,-6.703449,7.526404
627437834000,-1.467549,-2.312175,-6.485348,7.039858
627457823000,-0.019271,-2.347531,-5.659503,6.127091
