't             ','x             ','y             ','z             ',magnitude
4.0772072112E13,0.979466,-0.14343,-0.231877,1.016707
4.0772092481E13,0.987347,-0.358454,-0.07816,1.053306
4.0772111766E13,0.980151,-0.514636,0.065399,1.108974
4.0772131782E13,0.940666,-0.593896,0.175319,1.126189
4.0772152487E13,0.853943,-0.583195,0.230861,1.059543
4.0772172054E13,0.710645,-0.477499,0.217683,0.883407
4.0772191737E13,0.510259,-0.281971,0.130786,0.597476
4.0772212139E13,0.26344,-0.013066,-0.023958,0.264849
4.0772231714E13,-0.007617,0.301989,-0.230135,0.37976
4.0772251734E13,-0.271516,0.627656,-0.46296,0.825836
4.0772271971E13,-0.492613,0.924305,-0.693347,1.25608
4.0772291726E13,-0.637795,1.153558,-0.892916,1.592099
4.0772312062E13,-0.683894,1.28377,-1.038809,1.787428
4.0772331717E13,-0.623956,1.29487,-1.117332,1.82056
4.0772351734E13,-0.470848,1.181689,-1.125863,1.698722
4.0772371942E13,-0.256967,0.955118,-1.072545,1.458984
4.0772391652E13,-0.029297,0.640744,-0.97342,1.165743
4.0772412064E13,0.159006,0.275356,-0.848208,0.905848
4.0772431714E13,0.25929,-0.098571,-0.715674,0.767553
4.0772451734E13,0.238179,-0.43838,-0.589003,0.771901
4.0772471871E13,0.086496,-0.70776,-0.472449,0.855344
4.0772491726E13,-0.176589,-0.881638,-0.361454,0.969081
4.0772512062E13,-0.505638,-0.948486,-0.244678,1.102344
4.0772531714E13,-0.836681,-0.910648,-0.107752,1.24134
4.0772551729E13,-1.099614,-0.782879,0.061902,1.351252
4.0772571874E13,-1.233169,-0.588954,0.270291,1.393065
4.0772591726E13,-1.198665,-0.357324,0.513232,1.351993
4.0772612161E13,-0.990137,-0.116696,0.775095,1.262838
4.0772631717E13,-0.638634,0.107973,1.03019,1.216883
4.0772651734E13,-0.208727,0.298508,1.246776,1.298894
4.0772671877E13,0.212392,0.444704,1.392638,1.477265
4.0772692304E13,0.530871,0.544235,1.441048,1.629305
4.0772711696E13,0.66435,0.6016,1.375976,1.642131
4.0772731709E13,0.55853,0.626193,1.195061,1.460221
4.0772751732E13,0.19877,0.630019,0.910028,1.124537
4.0772771719E13,-0.386051,0.625611,0.544295,0.914702
4.0772791731E13,-1.128156,0.624134,0.12803,1.295635
4.0772812147E13,-1.933067,0.633868,-0.307784,2.057491
4.0772831712E13,-2.697723,0.659139,-0.737097,2.873236
4.0772851734E13,-3.328728,0.699425,-1.144069,3.588665
4.0772871871E13,-3.760067,0.750157,-1.524231,4.126029
4.0772891714E13,-3.965836,0.802513,-1.882084,4.462524
4.0772911702E13,-3.961464,0.846011,-2.229325,4.623724
4.0772931706E13,-3.799197,0.870089,-2.58027,4.674264
4.0772951722E13,-3.555893,0.865334,-2.945525,4.697797
4.0772975569E13,-3.316532,0.825537,-3.328409,4.77066
4.0772991751E13,-3.157147,0.749596,-3.723591,4.939089
4.0773011716E13,-3.13126,0.642441,-4.118665,5.213532
4.0773031694E13,-3.262641,0.515584,-4.498484,5.580951
4.0773051732E13,-3.545437,0.386099,-4.850225,6.020289
4.0773071719E13,-3.951263,0.273467,-5.167702,6.510945
4.0773091726E13,-4.441041,0.19587,-5.454351,7.036417
4.0773112019E13,-4.978157,0.166039,-5.723385,7.587276
4.0773131706E13,-5.539631,0.187299,-5.994657,8.164466
4.0773151712E13,-6.122032,0.250764,-6.288521,8.779957
4.0773171709E13,-6.740726,0.334785,-6.618261,9.452558
4.0773191702E13,-7.422627,0.406854,-6.982586,10.198894
4.0773211706E13,-8.194158,0.428053,-7.360417,11.022848
4.0773231721E13,-9.068156,0.35972,-7.709857,11.908096
4.0773251734E13,-10.033196,0.171181,-7.972356,12.816114
4.0773271709E13,-11.048526,-0.152881,-8.081833,13.689752
4.0773291722E13,-12.046479,-0.606873,-7.977536,14.461226
4.0773312794E13,-12.9425,-1.162263,-7.618045,15.062993
4.0773331874E13,-13.650804,-1.769697,-6.993688,15.439817
4.0773351726E13,-14.102193,-2.365426,-6.134142,15.559395
4.0773371706E13,-14.259322,-2.881414,-5.108836,15.418528
4.0773391704E13,-14.125973,-3.257029,-4.019736,15.043591
4.0773412482E13,-13.747464,-3.450585,-2.987388,14.485296
4.0773431871E13,-13.201521,-3.448738,-2.130682,13.809915
4.0773451732E13,-12.580051,-3.271157,-1.546185,13.090028
4.0773471704E13,-11.967579,-2.968871,-1.29061,12.397694
4.0773491704E13,-11.420554,-2.616214,-1.369406,11.796139
4.0773512116E13,-10.952168,-2.298034,-1.73434,11.32426
4.0773531871E13,-10.527168,-2.094005,-2.291252,10.975243
4.0773551731E13,-10.068575,-2.062827,-2.917167,10.683694
4.0773571717E13,-9.475517,-2.229553,-3.483433,10.338793
4.0773591707E13,-8.6491,-2.578785,-3.880541,9.824238
4.0773612662E13,-7.520467,-3.054812,-4.039746,9.066909
4.0773631871E13,-6.074446,-3.569592,-3.946832,8.075788
4.0773651711E13,-4.363031,-4.017559,-3.645034,6.961544
4.0773671701E13,-2.50499,-4.294185,-3.226346,5.926577
4.0773691836E13,-0.670335,-4.315047,-2.812441,5.194112
4.0773711641E13,0.948037,-4.03202,-2.528913,4.852975
4.0773731727E13,2.170278,-3.443499,-2.477824,4.765229
4.0773751734E13,2.865759,-2.596467,-2.714234,4.72454
4.0773771707E13,2.982111,-1.580152,-3.231911,4.672806
4.0773791706E13,2.560688,-0.512374,-3.961097,4.744464
4.0773812142E13,1.733974,0.478789,-4.779829,5.10712
4.0773831876E13,0.705982,1.274767,-5.536752,5.7253
4.0773851727E13,-0.283336,1.784602,-6.079746,6.342586
4.0773871687E13,-1.001148,1.957385,-6.285279,6.658707
4.0773891712E13,-1.263804,1.787591,-6.085101,6.466927
4.0773914276E13,-0.970724,1.313325,-5.482644,5.720709
4.0773931832E13,-0.123327,0.606627,-4.554503,4.59638
