't             ','x             ','y             ','z             ',magnitude
178877058000,-1.592661,-0.321228,-0.085379,1.626975
178897211000,-2.954461,-0.107538,0.458007,2.991684
178917059000,-4.030913,0.045972,1.069723,4.170693
178937041000,-4.684775,0.074578,1.715326,4.989491
178957019000,-4.839786,-0.068237,2.354473,5.382539
178977063000,-4.492698,-0.401267,2.94832,5.388686
178997218000,-3.712434,-0.910253,3.464767,5.159005
179017059000,-2.626744,-1.548285,3.880521,4.93512
179037046000,-1.398591,-2.24194,4.180116,4.945272
179057029000,-0.197252,-2.902093,4.352947,5.23538
179077066000,0.830559,-3.437875,4.389706,5.637227
179097208000,1.584206,-3.771015,4.279837,5.920073
179117061000,2.023106,-3.848248,4.010945,5.915205
179137041000,2.168847,-3.649562,3.570741,5.547377
179157026000,2.095336,-3.190541,2.951333,4.824971
179177064000,1.909586,-2.518349,2.154733,3.825111
179197208000,1.726698,-1.702619,1.198163,2.704809
179217059000,1.644776,-0.823231,0.117444,1.843038
179237041000,1.724531,0.042708,-1.032929,2.010665
179257028000,1.977194,0.832121,-2.183443,3.060906
179277058000,2.362975,1.503263,-3.256699,4.295293
179297091000,2.800075,2.038104,-4.176935,5.425963
179317134000,3.182137,2.439831,-4.8801,6.316181
179337074000,3.400516,2.726307,-5.322596,6.87941
179357028000,3.366762,2.921513,-5.4868,7.069321
179377084000,3.030658,3.047075,-5.38263,6.887834
179397059000,2.391072,3.116422,-5.044282,6.393285
179417058000,1.49723,3.132482,-4.52342,5.702234
179437038000,0.440606,3.089445,-3.879874,4.979179
179457023000,-0.660745,2.977872,-3.17196,4.400641
179477068000,-1.682197,2.79165,-2.448245,4.076395
179497049000,-2.513003,2.53448,-1.742497,3.971784
179517059000,-3.073377,2.223988,-1.072604,3.942365
179537051000,-3.325416,1.892,-0.443304,3.851568
179557203000,-3.276141,1.580464,0.148272,3.640461
179577028000,-2.97277,1.333721,0.705708,3.333796
179597196000,-2.49152,1.188882,1.22708,3.021066
179617061000,-1.922471,1.166914,1.700823,2.819642
179636974000,-1.353544,1.266426,2.104603,2.804509
179657031000,-0.857955,1.462684,2.40824,2.945361
