't             ','x             ','y             ','z             ',magnitude
5.9936341649E13,-0.100307,-0.405192,0.351958,0.546001
5.9936361709E13,0.102429,-0.273264,0.365258,0.467524
5.9936385306E13,0.280647,-0.106062,0.271418,0.404574
5.9936402569E13,0.383053,0.058309,0.085268,0.396737
5.9936421702E13,0.374473,0.182446,-0.152081,0.443447
5.9936442307E13,0.246187,0.238642,-0.382,0.513305
5.9936461717E13,0.020424,0.215822,-0.542816,0.584504
5.9936481692E13,-0.252755,0.122581,-0.587006,0.650759
5.9936501689E13,-0.506059,-0.014503,-0.497062,0.70949
5.9936521707E13,-0.670915,-0.15716,-0.296009,0.749966
5.9936541677E13,-0.695504,-0.265094,-0.049207,0.745937
5.9936561671E13,-0.560378,-0.307182,0.143872,0.655045
5.9936581689E13,-0.287427,-0.271395,0.167761,0.429434
5.9936603281E13,0.060141,-0.17162,-0.084552,0.200548
5.9936621866E13,0.388113,-0.049788,-0.685426,0.789253
5.9936641846E13,0.589842,0.028071,-1.649852,1.752345
5.9936661799E13,0.569674,-0.018698,-2.922595,2.977657
5.9936681706E13,0.266756,-0.272255,-4.378188,4.394748
5.9936702139E13,-0.326465,-0.8019,-5.835904,5.89978
5.9936721702E13,-1.155549,-1.651178,-7.087495,7.368465
5.9936741681E13,-2.10815,-2.82832,-7.932714,8.681684
5.9936761669E13,-3.030262,-4.30204,-8.215975,9.756653
5.9936781696E13,-3.752257,-6.003556,-7.857827,10.576746
5.9936803572E13,-4.119867,-7.833112,-6.874253,11.206529
5.9936822691E13,-4.02485,-9.672351,-5.37873,11.77644
5.9936842001E13,-3.427802,-11.39807,-3.566159,12.425108
5.9936861731E13,-2.368253,-12.895562,-1.68116,13.218564
5.9936882629E13,-0.960419,-14.070114,0.023489,14.102874
5.9936901707E13,0.625124,-14.854876,1.330509,14.927437
5.9936922426E13,2.190426,-15.214564,2.095242,15.513573
5.9936941702E13,3.544009,-15.145335,2.268847,15.71906
5.9936961881E13,4.533017,-14.67163,1.902797,15.473383
5.9936981784E13,5.066961,-13.841264,1.134088,14.783126
5.9937001694E13,5.129024,-12.719632,0.154186,13.715673
5.9937021711E13,4.772958,-11.383914,-0.832338,12.372042
5.9937041692E13,4.107421,-9.918607,-1.650713,10.861608
5.9937061696E13,3.270668,-8.410033,-2.190547,9.28571
5.9937081711E13,2.402006,-6.942231,-2.424866,7.735902
5.9937101786E13,1.615299,-5.592514,-2.410839,6.3006
5.9937121714E13,0.980992,-4.42634,-2.271415,5.070913
5.9937141694E13,0.519699,-3.491858,-2.16174,4.139599
5.9937161749E13,0.207541,-2.814949,-2.22851,3.596285
5.9937186214E13,-0.008534,-2.395436,-2.570865,3.513906
5.9937201721E13,-0.190157,-2.206642,-3.211519,3.90119
5.9937221742E13,-0.387202,-2.198213,-4.085451,4.655424
5.9937241704E13,-0.622865,-2.302303,-5.049015,5.584005
5.9937261722E13,-0.887642,-2.443041,-5.908023,6.454541
5.9937281727E13,-1.143205,-2.547926,-6.458495,7.036406
5.9937301697E13,-1.334969,-2.559152,-6.531907,7.141233
5.9937321711E13,-1.409861,-2.442997,-6.035399,6.66198
