't             ','x             ','y             ','z             ',magnitude
1.5254313726E13,0.459587,-0.311912,-0.047864,0.557494
1.5254333314E13,0.25362,-0.07475,-0.129132,0.294255
1.5254353462E13,0.048522,0.236756,-0.266098,0.359466
1.5254373317E13,-0.123868,0.592273,-0.458524,0.759194
1.5254393526E13,-0.233229,0.954054,-0.701058,1.206688
1.5254413284E13,-0.256507,1.284423,-0.983856,1.638143
1.5254433316E13,-0.182866,1.553247,-1.293558,2.029608
1.5254453452E13,-0.016456,1.743777,-1.614344,2.37637
1.5254473309E13,0.223373,1.855204,-1.929209,2.685801
1.5254493684E13,0.504325,1.90257,-2.221276,2.967858
1.5254513759E13,0.786421,1.912338,-2.474215,3.224475
1.5254533316E13,1.028756,1.915666,-2.672671,3.445474
1.5254553457E13,1.196104,1.941572,-2.802826,3.613337
1.5254573317E13,1.264662,2.010929,-2.85321,3.712682
1.5254593862E13,1.225875,2.132336,-2.815971,3.738893
1.5254613741E13,1.087536,2.301513,-2.688413,3.702332
1.5254633311E13,0.870932,2.505337,-2.47516,3.627899
1.5254653454E13,0.606304,2.725417,-2.187581,3.546972
1.5254673314E13,0.326903,2.945811,-1.843541,3.49046
1.5254694022E13,0.062196,3.15833,-1.465983,3.482531
1.5254713799E13,-0.167546,3.36581,-1.081169,3.539163
1.5254733317E13,-0.354525,3.582404,-0.71661,3.670536
1.5254753459E13,-0.504027,3.830204,-0.397354,3.883606
1.5254773311E13,-0.631899,4.13354,-0.142249,4.18398
1.5254794191E13,-0.75989,4.511703,0.038644,4.575412
1.5254813807E13,-0.909716,4.971751,0.145416,5.056386
1.5254833312E13,-1.097193,5.503484,0.187844,5.614931
1.5254853456E13,-1.327666,6.078271,0.183251,6.22428
1.5254873311E13,-1.593945,6.651907,0.153119,6.841927
1.5254893246E13,-1.876914,7.171216,0.118878,7.413722
1.5254913757E13,-2.148903,7.583257,0.097713,7.882456
1.5254933319E13,-2.37886,7.844819,0.09927,8.198171
1.5254953459E13,-2.53853,7.930274,0.123782,8.327587
1.5254973312E13,-2.608159,7.836118,0.162261,8.260361
1.5254993312E13,-2.580567,7.581311,0.198497,8.01093
1.5255013769E13,-2.462798,7.203206,0.212525,7.615557
1.5255033324E13,-2.274852,6.750076,0.184902,7.125494
1.5255053296E13,-2.045965,6.271894,0.100973,6.597941
1.5255073284E13,-1.809077,5.811653,-0.046094,6.086887
1.5255093319E13,-1.594519,5.399491,-0.253855,5.635729
1.5255113457E13,-1.424472,5.049937,-0.51108,5.27183
1.5255133782E13,-1.309263,4.762868,-0.800016,5.00391
1.5255153297E13,-1.245911,4.52815,-1.099939,4.823516
1.5255173282E13,-1.219483,4.33225,-1.391142,4.710711
1.5255193319E13,-1.206848,4.164556,-1.658511,4.64227
1.5255213702E13,-1.181454,4.021475,-1.893945,4.599469
1.5255233314E13,-1.119571,3.907726,-2.097062,4.573995
1.5255253451E13,-1.005417,3.834305,-2.273684,4.569726
1.5255273316E13,-0.834293,3.813253,-2.432935,4.599578
1.5255293316E13,-0.613257,3.850966,-2.583556,4.67769
1.5256313279E13,2.156306,1.045073,0.307478,2.415859
1.5256333319E13,2.428179,0.967318,1.078205,2.827416
1.5256353449E13,2.596128,1.146046,1.676397,3.295998
1.5256373341E13,2.663664,1.611208,2.041058,3.722502
1.5256393551E13,2.64252,2.33821,2.146502,4.130086
1.5256413459E13,2.549519,3.249566,2.005056,4.591293
1.5256433557E13,2.403232,4.227511,1.663263,5.139437
1.5256460794E13,2.220964,5.135072,1.192447,5.720453
1.5256473512E13,2.016813,5.841312,0.675655,6.216508
1.5256493352E13,1.800874,6.245543,0.193365,6.502872
1.5256513322E13,1.579617,6.295673,-0.189449,6.49358
1.5256533532E13,1.357169,5.99698,-0.432508,6.163825
1.5256554241E13,1.136917,5.409743,-0.524278,5.552727
1.5256573357E13,0.922847,4.636355,-0.480437,4.751658
1.5256593387E13,0.72016,3.800724,-0.337531,3.883048
1.5256614571E13,0.535402,3.024429,-0.143977,3.074826
1.5256634237E13,0.374653,2.4049,0.0505,2.434432
1.5256653301E13,0.242683,1.99804,0.204139,2.02305
1.5256673319E13,0.141742,1.810771,0.29113,1.839495
1.5256693342E13,0.069646,1.803555,0.304434,1.830394
1.5256714117E13,0.020181,1.901781,0.253996,1.918773
