't             ','x             ','y             ','z             ',magnitude
4.0598180449E13,5.805179,-0.287847,-2.581721,6.359893
4.0598200479E13,6.5863,1.833867,-3.539115,7.698555
4.0598220451E13,6.988973,3.990055,-4.523139,9.231742
4.0598240474E13,7.000675,5.974748,-5.435997,10.689112
4.0598260422E13,6.665964,7.588297,-6.183959,11.843085
4.0598280454E13,6.079034,8.670614,-6.690643,12.52593
4.0598300479E13,5.367267,9.128767,-6.907453,12.643371
4.0598320446E13,4.668672,8.953407,-6.819539,12.184667
4.0598340459E13,4.107225,8.22067,-6.446549,11.225271
4.0598361376E13,3.77098,7.079223,-5.838516,9.920886
4.0598380454E13,3.697433,5.724835,-5.067359,8.492519
4.0598400689E13,3.868911,4.366839,-4.21595,7.198054
4.0598420489E13,4.219002,3.192934,-3.366361,6.271139
4.0598440481E13,4.648581,2.338632,-2.589587,5.81244
4.0598460391E13,5.048083,1.866944,-1.938084,5.720559
4.0598480442E13,5.321415,1.76169,-1.442034,5.787959
4.0598500479E13,5.40652,1.935476,-1.109166,5.848656
4.0598520452E13,5.288268,2.250178,-0.928,5.821535
4.0598540422E13,5.000747,2.545985,-0.873348,5.679106
4.0598560386E13,4.618617,2.673006,-0.912829,5.413857
4.0598580399E13,4.239111,2.519624,-1.012929,5.034341
4.0598600444E13,3.958648,2.032437,-1.143868,4.594576
4.0598621449E13,3.849491,1.224582,-1.282805,4.238369
4.0598640431E13,3.941557,0.171211,-1.415006,4.191351
4.0598660701E13,4.213355,-1.006378,-1.533341,4.595246
4.0598680391E13,4.594256,-2.164451,-1.63674,5.335818
4.0598700401E13,4.977956,-3.163497,-1.728112,6.146066
4.0598720447E13,5.244503,-3.892708,-1.812263,6.778074
4.0598740351E13,5.286197,-4.287788,-1.894077,7.065163
4.0598760324E13,5.031754,-4.339072,-1.97717,6.932193
4.0598780334E13,4.463418,-4.089035,-2.062958,6.395162
4.0598801851E13,3.623315,-3.6203,-2.150131,5.555002
4.0598820759E13,2.607499,-3.036811,-2.234036,4.583905
4.0598840349E13,1.548433,-2.442446,-2.30599,3.698754
4.0598860324E13,0.589771,-1.921403,-2.353611,3.095012
4.0598880334E13,-0.141694,-1.523918,-2.360487,2.813237
4.0598901899E13,-0.560781,-1.259831,-2.307053,2.687776
4.0598920754E13,-0.640296,-1.10092,-2.172932,2.518658
4.0598940367E13,-0.415588,-0.991004,-1.940333,2.218039
4.0598960327E13,0.023569,-0.861382,-1.598288,1.81578
4.0598980336E13,0.552213,-0.648266,-1.147175,1.428705
4.0599001792E13,1.036237,-0.308578,-0.602439,1.237716
4.0599020734E13,1.359776,0.169391,0.003671,1.370291
4.0599040369E13,1.448093,0.762304,0.622959,1.751046
4.0599060326E13,1.280948,1.415621,1.195229,2.252417
4.0599080326E13,0.894055,2.054158,1.655374,2.785528
4.0599101726E13,0.36856,2.597039,1.942893,3.264243
4.0599120734E13,-0.189047,2.974098,2.012225,3.595837
4.0599140359E13,-0.672041,3.140235,1.841801,3.702019
4.0599160524E13,-0.998087,3.084719,1.440025,3.547583
4.0598680391E13,4.594256,-2.164451,-1.63674,5.335818
4.0598700401E13,4.977956,-3.163497,-1.728112,6.146066
4.0598720447E13,5.244503,-3.892708,-1.812263,6.778074
4.0598740351E13,5.286197,-4.287788,-1.894077,7.065163
4.0598760324E13,5.031754,-4.339072,-1.97717,6.932193
4.0598780334E13,4.463418,-4.089035,-2.062958,6.395162
4.0598801851E13,3.623315,-3.6203,-2.150131,5.555002
4.0598820759E13,2.607499,-3.036811,-2.234036,4.583905
4.0598840349E13,1.548433,-2.442446,-2.30599,3.698754
4.0598860324E13,0.589771,-1.921403,-2.353611,3.095012
4.0598880334E13,-0.141694,-1.523918,-2.360487,2.813237
4.0598901899E13,-0.560781,-1.259831,-2.307053,2.687776
4.0598920754E13,-0.640296,-1.10092,-2.172932,2.518658
4.0598940367E13,-0.415588,-0.991004,-1.940333,2.218039
4.0598960327E13,0.023569,-0.861382,-1.598288,1.81578
4.0598980336E13,0.552213,-0.648266,-1.147175,1.428705
4.0599001792E13,1.036237,-0.308578,-0.602439,1.237716
4.0599020734E13,1.359776,0.169391,0.003671,1.370291
4.0599040369E13,1.448093,0.762304,0.622959,1.751046
4.0599060326E13,1.280948,1.415621,1.195229,2.252417
4.0599080326E13,0.894055,2.054158,1.655374,2.785528
4.0599101726E13,0.36856,2.597039,1.942893,3.264243
4.0599120734E13,-0.189047,2.974098,2.012225,3.595837
4.0599140359E13,-0.672041,3.140235,1.841801,3.702019
4.0599160524E13,-0.998087,3.084719,1.440025,3.547583
4.0599180339E13,-1.1278,2.83367,0.846832,3.16524
4.0599201756E13,-1.073416,2.445098,0.129874,2.673499
4.0599220699E13,-0.895627,1.997348,-0.624522,2.276307
4.0599240346E13,-0.68946,1.573202,-1.324324,2.168906
4.0599261111E13,-0.56237,1.242768,-1.886507,2.328012
4.0599280576E13,-0.609384,1.048776,-2.250859,2.556882
4.0599301734E13,-0.890623,0.997381,-2.390021,2.738645
4.0599320686E13,-1.416369,1.056215,-2.313847,2.911285
4.0599340346E13,-2.142977,1.160594,-2.066659,3.195373
4.0599360839E13,-2.980086,1.22694,-1.717294,3.651766
4.0599380569E13,-3.807801,1.170786,-1.344572,4.204517
4.0599401729E13,-4.50027,0.925897,-1.020825,4.70657
4.0599420712E13,-4.950722,0.460571,-0.796521,5.035496
4.0599440364E13,-5.092937,-0.212458,-0.68941,5.143776
4.0599460796E13,-4.914098,-1.034217,-0.680885,5.067699
4.0599480377E13,-4.456984,-1.907398,-0.720473,4.90122
4.0599501759E13,-3.81105,-2.712638,-0.73767,4.735681
4.0599520546E13,-3.094668,-3.330282,-0.659143,4.593715
4.0599540344E13,-2.432098,-3.663732,-0.427735,4.418257
4.0599560594E13,-1.929905,-3.659448,-0.019173,4.137205
4.0599580571E13,-1.656805,-3.319669,0.54763,3.750347
4.0599601856E13,-1.632136,-2.705482,1.209017,3.383078
4.0599620556E13,-1.823939,-1.928648,1.864484,3.243877
4.0599640347E13,-2.156566,-1.133431,2.393454,3.415269
4.0599660404E13,-2.526176,-0.471552,2.67787,3.711457
4.0600180367E13,-2.066504,-4.67101,-0.138845,5.109604
4.0600201711E13,-1.186491,-4.289989,0.411514,4.470024
4.0600220501E13,-0.45818,-3.845761,0.85533,3.966282
4.0600240342E13,0.034728,-3.418516,1.103511,3.59238
4.0600260509E13,0.247691,-3.066947,1.105399,3.269468
4.0600280546E13,0.182568,-2.816932,0.858995,2.950646
4.0600301741E13,-0.112917,-2.658456,0.410862,2.692387
4.0600320501E13,-0.553565,-2.550886,-0.154474,2.614826
4.0600340351E13,-1.031791,-2.434599,-0.732094,2.743689
4.0600360516E13,-1.436866,-2.246476,-1.218113,2.931729
4.0600380572E13,-1.6748,-1.935397,-1.530518,2.982147
4.0600401814E13,-1.685173,-1.47432,-1.62489,2.766531
4.0600420501E13,-1.451775,-0.866588,-1.501764,2.261398
4.0600440349E13,-1.004899,-0.145259,-1.204406,1.575283
4.0600460516E13,-0.414345,0.634089,-0.807886,1.107443
4.0600480571E13,0.224975,1.40471,-0.401957,1.478308
4.0600501724E13,0.811848,2.101635,-0.071621,2.254129
4.0600520507E13,1.258071,2.672821,0.120182,2.956545
4.0600540351E13,1.504557,3.086806,0.14427,3.436987
4.0600560509E13,1.530735,3.33516,0.009215,3.669676
4.0600580586E13,1.35537,3.429467,-0.24298,3.69558
4.0600601712E13,1.028907,3.394234,-0.548614,3.588935
4.0600620497E13,0.619404,3.257687,-0.838241,3.420356
4.0600640329E13,0.195286,3.042915,-1.053007,3.225878
4.0600660512E13,-0.191187,2.761786,-1.157731,3.000726
4.0600680571E13,-0.515801,2.412837,-1.147856,2.721288
4.0600701719E13,-0.786905,1.983476,-1.04894,2.377745
4.0600720494E13,-1.041549,1.455805,-0.908874,2.007547
4.0600740347E13,-1.334341,0.814322,-0.784748,1.749118
4.0600760516E13,-1.721169,0.053641,-0.727513,1.869379
4.0600780571E13,-2.241809,-0.815807,-0.768169,2.506258
4.0600801804E13,-2.905284,-1.765547,-0.909063,3.519123
4.0600820499E13,-3.681389,-2.750564,-1.121408,4.730305
4.0600840351E13,-4.500432,-3.713922,-1.350591,5.989257
4.0600860517E13,-5.261407,-4.5934,-1.528499,7.149688
4.0600880576E13,-5.847464,-5.328704,-1.589716,8.069394
4.0600901899E13,-6.145423,-5.867575,-1.488149,8.626079
4.0600920504E13,-6.065315,-6.169857,-1.210653,8.736181
4.0600940347E13,-5.556579,-6.209211,-0.784234,8.369283
4.0600960517E13,-4.618029,-5.972904,-0.274927,7.554956
4.0600980579E13,-3.299889,-5.460501,0.221719,6.384004
4.0601001907E13,-1.697858,-4.682611,0.597007,5.016572
4.0601020502E13,0.059078,-3.660513,0.749243,3.736872
4.0601040342E13,1.824733,-2.427166,0.604097,3.096081
4.0601060344E13,3.453116,-1.02907,0.131124,3.605577
4.0601080359E13,4.813991,0.472102,-0.647081,4.880174
4.0601101911E13,5.804582,1.999484,-1.654847,6.35843
4.0601120342E13,6.356704,3.464011,-2.772741,7.752107
4.0601140341E13,6.439329,4.771298,-3.854683,8.89319
4.0601160344E13,6.057588,5.83202,-4.749944,9.657577
4.0600680571E13,-0.515801,2.412837,-1.147856,2.721288
4.0600701719E13,-0.786905,1.983476,-1.04894,2.377745
4.0600720494E13,-1.041549,1.455805,-0.908874,2.007547
4.0600740347E13,-1.334341,0.814322,-0.784748,1.749118
4.0600760516E13,-1.721169,0.053641,-0.727513,1.869379
4.0600780571E13,-2.241809,-0.815807,-0.768169,2.506258
4.0600801804E13,-2.905284,-1.765547,-0.909063,3.519123
4.0600820499E13,-3.681389,-2.750564,-1.121408,4.730305
4.0600840351E13,-4.500432,-3.713922,-1.350591,5.989257
4.0600860517E13,-5.261407,-4.5934,-1.528499,7.149688
4.0600880576E13,-5.847464,-5.328704,-1.589716,8.069394
4.0600901899E13,-6.145423,-5.867575,-1.488149,8.626079
4.0600920504E13,-6.065315,-6.169857,-1.210653,8.736181
4.0600940347E13,-5.556579,-6.209211,-0.784234,8.369283
4.0600960517E13,-4.618029,-5.972904,-0.274927,7.554956
4.0600980579E13,-3.299889,-5.460501,0.221719,6.384004
4.0601001907E13,-1.697858,-4.682611,0.597007,5.016572
4.0601020502E13,0.059078,-3.660513,0.749243,3.736872
4.0601040342E13,1.824733,-2.427166,0.604097,3.096081
4.0601060344E13,3.453116,-1.02907,0.131124,3.605577
4.0601080359E13,4.813991,0.472102,-0.647081,4.880174
4.0601101911E13,5.804582,1.999484,-1.654847,6.35843
4.0601120342E13,6.356704,3.464011,-2.772741,7.752107
4.0601140341E13,6.439329,4.771298,-3.854683,8.89319
4.0601160344E13,6.057588,5.83202,-4.749944,9.657577
4.0601180369E13,5.249302,6.574632,-5.326252,9.957405
4.0601201932E13,4.080672,6.958053,-5.490144,9.757461
4.0601220507E13,2.641007,6.98138,-5.200972,9.097511
4.0601240342E13,1.037373,6.688047,-4.476408,8.114453
4.0601260346E13,-0.611384,6.162497,-3.389071,7.059459
4.0601280359E13,-2.181606,5.519001,-2.054499,6.280107
4.0601301926E13,-3.553084,4.883636,-0.613204,6.070447
4.0601320506E13,-4.618747,4.37217,0.789735,6.408773
4.0601340354E13,-5.294735,4.067957,2.024124,6.977075
4.0601360514E13,-5.529992,4.004372,2.990101,7.453624
4.0601380577E13,-5.313473,4.155635,3.627607,7.659101
4.0601401904E13,-4.676556,4.439188,3.918724,7.545394
4.0601420499E13,-3.690189,4.729533,3.88315,7.145966
4.0601440364E13,-2.456366,4.881653,3.568644,6.526829
4.0601460509E13,-1.094889,4.760069,3.038636,5.752421
4.0601480567E13,0.272391,4.267914,2.35952,4.884324
4.0601501892E13,1.537291,3.370418,1.590058,4.031285
