't             ','x             ','y             ','z             ',magnitude
2.2433407946E13,1.256677,0.251309,-0.276198,1.310984
2.2433427926E13,1.322939,0.22969,-0.207702,1.3587
2.2433447934E13,1.335852,0.207897,-0.113875,1.35672
2.2433467958E13,1.283483,0.18697,0.004883,1.297039
2.2433488099E13,1.16329,0.172369,0.143251,1.184684
2.2433507949E13,0.982996,0.171256,0.29069,1.039283
2.2433527933E13,0.760015,0.190449,0.432042,0.894736
2.2433547933E13,0.518931,0.233308,0.55001,0.791349
2.2433567958E13,0.286446,0.298021,0.62829,0.752075
2.2433588104E13,0.087236,0.37676,0.654631,0.760328
2.2433608129E13,-0.060351,0.456683,0.622832,0.774675
2.2433627933E13,-0.146868,0.521142,0.534861,0.761075
2.2433647931E13,-0.173151,0.553738,0.400502,0.704988
2.2433667958E13,-0.148571,0.541851,0.235994,0.609401
2.2433688101E13,-0.088464,0.480129,0.061152,0.492026
2.2433707948E13,-0.009349,0.371705,-0.1043,0.386174
2.2433727928E13,0.07383,0.229681,-0.244148,0.343238
2.2433747926E13,0.151024,0.075812,-0.34714,0.386085
2.2433767954E13,0.217543,-0.061324,-0.407871,0.466309
2.2433788093E13,0.274837,-0.149943,-0.427322,0.529738
2.2433807949E13,0.329785,-0.162445,-0.412749,0.552728
2.2433827961E13,0.389711,-0.078934,-0.37145,0.544133
2.2433847939E13,0.460022,0.109333,-0.310477,0.565659
2.2433867956E13,0.544807,0.398408,-0.23574,0.714925
2.2433888261E13,0.644122,0.770433,-0.15078,1.015477
2.2433907953E13,0.753395,1.196017,-0.056972,1.414675
2.2433927931E13,0.865006,1.638302,0.045016,1.853185
2.2433947921E13,0.969836,2.058358,0.153277,2.280551
2.2433967951E13,1.058993,2.419885,0.263841,2.654604
2.2433988086E13,1.126262,2.695508,0.368966,2.944548
2.2434007946E13,1.168133,2.870262,0.457794,3.132493
2.2434027933E13,1.184378,2.942864,0.517875,3.214249
2.2434047933E13,1.176916,2.924867,0.537969,3.198342
2.2434067953E13,1.148445,2.837976,0.509968,3.103723
2.2434088084E13,1.100476,2.708601,0.432921,2.955501
2.2434107954E13,1.03279,2.56236,0.313509,2.780402
2.2434128018E13,0.943211,2.419358,0.166049,2.602021
2.2434147988E13,0.828474,2.289799,0.010246,2.435088
2.2434167956E13,0.68569,2.173368,-0.132153,2.282798
2.2434187921E13,0.514158,2.060057,-0.241173,2.136903
2.2434207946E13,0.316957,1.933347,-0.302885,1.982431
2.2434228178E13,0.101721,1.775626,-0.312273,1.805744
2.2434247933E13,-0.119635,1.573076,-0.274049,1.601245
2.2434267954E13,-0.331984,1.320762,-0.201919,1.376734
2.2434288088E13,-0.519329,1.025262,-0.115384,1.155066
2.2434307933E13,-0.667152,0.704332,-0.034492,0.970754
2.2434328346E13,-0.768013,0.385646,0.021358,0.859664
2.2434347959E13,-0.819082,0.100088,0.041135,0.826199
2.2434367956E13,-0.824681,-0.123909,0.023015,0.834255
2.2434388059E13,-0.794603,-0.266798,-0.025125,0.838574
2.2435907938E13,-1.472935,-1.493685,0.459379,2.147478
2.2435927944E13,-1.215259,-1.785099,0.78092,2.29636
2.2435948108E13,-0.780208,-1.968329,1.030027,2.35457
2.2435968063E13,-0.199474,-2.029712,1.178416,2.355458
2.2435987933E13,0.477314,-1.978757,1.206592,2.366257
2.2436007926E13,1.18859,-1.84599,1.106002,2.458387
2.2436027954E13,1.869983,-1.676653,0.880949,2.661592
2.2436048109E13,2.462909,-1.521349,0.548644,2.946427
2.2436068073E13,2.922055,-1.425533,0.137858,3.254159
2.2436088089E13,3.221009,-1.420175,-0.313597,3.534139
2.2436107934E13,3.354339,-1.516378,-0.762831,3.759375
2.2436127953E13,3.336157,-1.703896,-1.166866,3.923619
2.2436148123E13,3.195961,-1.953909,-1.487677,4.030523
2.2436168058E13,2.972667,-2.2259,-1.697162,4.083104
2.2436188089E13,2.707136,-2.477189,-1.780739,4.078736
2.2436207939E13,2.435469,-2.671682,-1.73982,4.012028
2.2436227948E13,2.18435,-2.786099,-1.591607,3.881617
2.2436248208E13,1.96699,-2.814768,-1.367313,3.696148
2.2436268084E13,1.783122,-2.76817,-1.106062,3.473566
2.2436287924E13,1.621233,-2.668891,-0.850602,3.236495
2.2436307934E13,1.463647,-2.54374,-0.64027,3.003801
2.2436327934E13,1.292068,-2.416346,-0.504346,2.786132
2.2436347933E13,1.092297,-2.301962,-0.457189,2.588661
2.2436367923E13,0.8586,-2.203868,-0.495723,2.416603
2.2436387913E13,0.595424,-2.113248,-0.599598,2.275932
2.2436407938E13,0.316756,-2.012506,-0.734162,2.165527
2.2436427929E13,0.043242,-1.880954,-0.855807,2.066946
2.2436447941E13,-0.202138,-1.701013,-0.91903,1.943945
2.2436468074E13,-0.398864,-1.463297,-0.884081,1.755543
2.2436487934E13,-0.533161,-1.169349,-0.724319,1.475221
2.2436507934E13,-0.60051,-0.831172,-0.431405,1.112461
2.2436527928E13,-0.60644,-0.467716,-0.018059,0.766064
2.2436547959E13,-0.564932,-0.099524,0.482116,0.749326
2.2436567989E13,-0.495042,0.257027,1.017982,1.160783
2.2436587926E13,-0.416675,0.594442,1.526864,1.690649
2.2436607939E13,-0.346318,0.915864,1.942169,2.175032
2.2436627918E13,-0.294438,1.233941,2.202042,2.541317
2.2436649451E13,-0.263801,1.567331,2.257417,2.760806
2.2436667913E13,-0.249835,1.935429,2.078871,2.851317
2.2436687914E13,-0.243959,2.349024,1.661318,2.887456
2.2436707941E13,-0.237562,2.806956,1.023265,2.997084
2.2436727941E13,-0.22388,3.293709,0.205543,3.307701
2.2436747961E13,-0.200571,3.781595,-0.73171,3.856953
2.2436767951E13,-0.171163,4.235782,-1.716284,4.573486
2.2436787924E13,-0.1446,4.623253,-2.671696,5.34166
2.2436807903E13,-0.130452,4.920382,-3.526196,6.054852
